file,metric,n,p50,p95,p99,max,mean
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051248).csv,RHI/DrawCalls,1222,106.0,106.0,106.0,106.0,105.59901800327333
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051248).csv,RHI/PrimitivesDrawn,1222,1273.0,1277.0,1277.0,1277.0,1270.7414075286415
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051248).csv,GPUSceneInstanceCount,1222,437.0,437.0,437.0,437.0,436.29296235679215
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051248).csv,GPUMem/LocalUsedMB,1222,3181.4023,3185.1523,3185.4023,3193.9023,3178.753648363339
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051248).csv,GPUMem/LocalBudgetMB,1222,31419.0,31419.0,31419.0,31419.0,31393.288870703764
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051248).csv,NumInstanceTransformUpdates,1221,0.0,0.0,99.19999999999936,186.0,3.7985257985257985
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051248).csv,Ticks/PorceSppaPackagedBenchmarkRunner,1222,1.0,1.0,1.0,1.0,1.0
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051248).csv,Exclusive/RenderThread/AddPrimitiveSceneInfos,1222,0.0003,0.0081,0.01183699999999999,0.0731,0.0013306873977086745
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051248).csv,Exclusive/RenderThread/RemovePrimitiveSceneInfos,1222,0.0003,0.0226,0.03163699999999999,0.0404,0.0029034369885433714
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051248).csv,Exclusive/RenderThread/UpdatePrimitiveInstances,1222,0.0012,0.0018,0.0023,0.0041,0.0012389525368248773
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051248).csv,Exclusive/RenderThread/UpdatePrimitiveTransform,1222,0.0009,0.0014,0.002,0.0029,0.0009298690671031097
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051248).csv,Exclusive/RenderThread/UpdateGPUScene,1222,0.0149,0.0542,0.07257899999999999,0.0887,0.020793126022913257
