model,label,mesh_path,status,front_png,faces_total,faces_rendered,side_png,top_png,iso_png
capsule_proxy,truck,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\capsule_proxy\truck\truck.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\truck\front.png,212,212,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\truck\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\truck\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\truck\iso.png
ellipsoid,biker,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\ellipsoid\biker\biker.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\biker\front.png,144,144,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\biker\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\biker\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\biker\iso.png
ellipsoid,car,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\ellipsoid\car\car.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\car\front.png,144,144,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\car\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\car\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\car\iso.png
ellipsoid,cow,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\ellipsoid\cow\cow.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\cow\front.png,144,144,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\cow\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\cow\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\cow\iso.png
ellipsoid,tractor,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\ellipsoid\tractor\tractor.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\tractor\front.png,144,144,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\tractor\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\tractor\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\tractor\iso.png
ellipsoid,tree,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\ellipsoid\tree\tree.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\tree\front.png,144,144,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\tree\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\tree\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\tree\iso.png
ellipsoid,truck,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\ellipsoid\truck\truck.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\truck\front.png,144,144,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\truck\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\truck\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\truck\iso.png
sppa_fixed,biker,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\sppa_fixed\biker\biker.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\biker\front.png,900,900,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\biker\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\biker\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\biker\iso.png
sppa_fixed,car,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\sppa_fixed\car\car.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\car\front.png,864,864,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\car\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\car\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\car\iso.png
sppa_fixed,cow,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\sppa_fixed\cow\cow.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\cow\front.png,1056,1056,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\cow\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\cow\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\cow\iso.png
sppa_fixed,tractor,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\sppa_fixed\tractor\tractor.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\tractor\front.png,960,960,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\tractor\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\tractor\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\tractor\iso.png
sppa_fixed,tree,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\sppa_fixed\tree\tree.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\tree\front.png,488,488,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\tree\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\tree\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\tree\iso.png
sppa_fixed,truck,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\sppa_fixed\truck\truck.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\truck\front.png,1668,1668,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\truck\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\truck\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_fixed\truck\iso.png
sppa_scaled,biker,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\sppa_scaled\biker\biker.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\biker\front.png,900,900,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\biker\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\biker\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\biker\iso.png
sppa_scaled,car,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\sppa_scaled\car\car.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\car\front.png,864,864,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\car\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\car\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\car\iso.png
sppa_scaled,cow,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\sppa_scaled\cow\cow.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\cow\front.png,1056,1056,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\cow\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\cow\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\cow\iso.png
sppa_scaled,tractor,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\sppa_scaled\tractor\tractor.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\tractor\front.png,960,960,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\tractor\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\tractor\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\tractor\iso.png
sppa_scaled,tree,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\sppa_scaled\tree\tree.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\tree\front.png,488,488,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\tree\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\tree\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\tree\iso.png
sppa_scaled,truck,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\sppa_scaled\truck\truck.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\truck\front.png,1668,1668,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\truck\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\truck\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\sppa_scaled\truck\iso.png
