model,label,mesh_path,status,front_png,faces_total,faces_rendered,side_png,top_png,iso_png
box,biker_adult,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\render_run\outputs\box\biker_adult\biker_adult.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\biker_adult\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\biker_adult\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\biker_adult\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\biker_adult\iso.png
box,biker_child,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\render_run\outputs\box\biker_child\biker_child.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\biker_child\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\biker_child\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\biker_child\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\biker_child\iso.png
box,car_compact,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\render_run\outputs\box\car_compact\car_compact.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\car_compact\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\car_compact\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\car_compact\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\car_compact\iso.png
box,car_long,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\render_run\outputs\box\car_long\car_long.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\car_long\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\car_long\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\car_long\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\car_long\iso.png
box,cow_large,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\render_run\outputs\box\cow_large\cow_large.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\cow_large\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\cow_large\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\cow_large\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\cow_large\iso.png
box,cow_small,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\render_run\outputs\box\cow_small\cow_small.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\cow_small\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\cow_small\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\cow_small\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\cow_small\iso.png
box,tractor_large,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\render_run\outputs\box\tractor_large\tractor_large.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tractor_large\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tractor_large\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tractor_large\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tractor_large\iso.png
box,tractor_small,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\render_run\outputs\box\tractor_small\tractor_small.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tractor_small\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tractor_small\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tractor_small\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tractor_small\iso.png
box,tree_short,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\render_run\outputs\box\tree_short\tree_short.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tree_short\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tree_short\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tree_short\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tree_short\iso.png
box,tree_tall,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\render_run\outputs\box\tree_tall\tree_tall.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tree_tall\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tree_tall\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tree_tall\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_scale_variants\20260702_open_label\views\models\box\tree_tall\iso.png
