baseline,count,repetition,updates_per_actor,create_total_ms,create_per_object_ms,pose_update_total_ms,pose_update_per_object_ms,shape_update_total_ms,shape_update_per_object_ms,no_op_total_ms,no_op_per_object_ms,destroy_total_ms,destroy_per_object_ms,actor_count,components_after_create,components_after_pose,components_after_shape,components_created_approx,components_destroyed_approx,components_reused_during_pose,components_reused_during_shape,descriptor_bytes,triangles_estimated,create_failures,pose_failures,shape_failures,no_op_failures,mode
no_render,10,0,5,0.06809999467805028,0.006809999467805028,0.005699999746866524,0.00011399999493733048,0.000200001522898674,2.00001522898674e-05,0.000400003045797348,4.00003045797348e-05,0.000100000761449337,1.00000761449337e-05,10,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,1,5,0.020699997548945248,0.002069999754894525,0.0035999983083456755,7.199996616691351e-05,0.000100000761449337,1.00000761449337e-05,0.000100000761449337,1.00000761449337e-05,0.000100000761449337,1.00000761449337e-05,10,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,2,5,0.018499995348975062,0.0018499995348975062,0.0032999960239976645,6.599992047995329e-05,0.000100000761449337,1.00000761449337e-05,0.000100000761449337,1.00000761449337e-05,0.0,0.0,10,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,50,0,5,0.11569999333005399,0.0023139998666010797,0.01340000017080456,5.360000068321824e-05,0.000100000761449337,2.00001522898674e-06,0.000100000761449337,2.00001522898674e-06,0.0,0.0,50,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,50,1,5,0.09210000280290842,0.0018420000560581684,0.015400000847876072,6.160000339150429e-05,0.000200001522898674,4.00003045797348e-06,0.000100000761449337,2.00001522898674e-06,0.000100000761449337,2.00001522898674e-06,50,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,50,2,5,0.09229998977389187,0.0018459997954778373,0.01309999788645655,5.23999915458262e-05,0.000200001522898674,4.00003045797348e-06,0.0,0.0,0.0,0.0,50,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,100,0,5,0.175300010596402,0.00175300010596402,0.02479999966453761,4.959999932907522e-05,0.00019998697098344564,1.9998697098344564e-06,0.0,0.0,0.000100000761449337,1.00000761449337e-06,100,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,100,1,5,0.17810000281315297,0.0017810000281315297,0.025200002710334957,5.040000542066991e-05,0.000100000761449337,1.00000761449337e-06,0.000100000761449337,1.00000761449337e-06,0.000100000761449337,1.00000761449337e-06,100,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,100,2,5,0.17169999773614109,0.0017169999773614109,0.024900000425986946,4.980000085197389e-05,0.000100000761449337,1.00000761449337e-06,0.000100000761449337,1.00000761449337e-06,0.000100000761449337,1.00000761449337e-06,100,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,250,0,5,0.4634000069927424,0.0018536000279709697,0.06299999949987978,5.039999959990382e-05,0.000100000761449337,4.00003045797348e-07,9.998620953410864e-05,3.9994483813643456e-07,0.0,0.0,250,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,250,1,5,0.4507999983616173,0.0018031999934464693,0.06130000110715628,4.9040000885725024e-05,0.000100000761449337,4.00003045797348e-07,0.000100000761449337,4.00003045797348e-07,0.000100000761449337,4.00003045797348e-07,250,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,250,2,5,0.4361000028438866,0.0017444000113755465,0.0602000072831288,4.816000582650304e-05,0.000200001522898674,8.00006091594696e-07,0.000100000761449337,4.00003045797348e-07,0.0,0.0,250,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,500,0,5,0.9311000030720606,0.0018622000061441213,0.12910000805277377,5.164000322110951e-05,0.000100000761449337,2.00001522898674e-07,0.000200001522898674,4.00003045797348e-07,0.000100000761449337,2.00001522898674e-07,500,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,500,1,5,0.8897999941837043,0.0017795999883674085,0.12840000272262841,5.1360001089051364e-05,0.000200001522898674,4.00003045797348e-07,0.000100000761449337,2.00001522898674e-07,9.998620953410864e-05,1.9997241906821728e-07,500,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,500,2,5,1.5591999981552362,0.0031183999963104725,0.13460000627674162,5.384000251069665e-05,0.000200001522898674,4.00003045797348e-07,0.000300002284348011,6.00004568696022e-07,0.0,0.0,500,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,10,0,5,3.330499996081926,0.3330499996081926,0.33460000122431666,0.006692000024486333,0.0022999884095042944,0.00022999884095042944,0.000200001522898674,2.00001522898674e-05,0.15750000602565706,0.015750000602565706,10,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,10,1,5,1.255400013178587,0.1255400013178587,0.29830000130459666,0.005966000026091933,0.0015999976312741637,0.00015999976312741637,0.000100000761449337,1.00000761449337e-05,0.09119999594986439,0.009119999594986439,10,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,10,2,5,1.174200006062165,0.11742000060621649,0.29910000739619136,0.005982000147923827,0.0016999983927235007,0.00016999983927235007,9.998620953410864e-05,9.998620953410864e-06,0.08840000373311341,0.00884000037331134,10,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,50,0,5,5.827600005432032,0.11655200010864064,1.4112000062596053,0.005644800025038421,0.0040000013541430235,8.000002708286047e-05,0.000300002284348011,6.00004568696022e-06,0.41369999235030264,0.008273999847006053,50,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,50,1,5,6.0831000009784475,0.12166200001956895,1.4176999975461513,0.005670799990184605,0.0039000005926936865,7.800001185387373e-05,0.000200001522898674,4.00003045797348e-06,0.4172000044491142,0.008344000088982284,50,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,50,2,5,6.126599997514859,0.12253199995029718,1.4094000071054325,0.00563760002842173,0.0036999990697950125,7.399998139590025e-05,9.998620953410864e-05,1.9997241906821728e-06,0.4233000072417781,0.008466000144835562,50,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,100,0,5,12.510100001236424,0.12510100001236424,2.858299994841218,0.005716599989682436,0.006799993570894003,6.799993570894003e-05,0.000200001522898674,2.00001522898674e-06,0.8526000019628555,0.008526000019628555,100,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,100,1,5,13.251100011984818,0.13251100011984818,2.8740999987348914,0.005748199997469783,0.006999995093792677,6.999995093792677e-05,0.000300002284348011,3.00002284348011e-06,0.850900003570132,0.00850900003570132,100,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,100,2,5,12.83230000990443,0.1283230000990443,2.813099999912083,0.005626199999824166,0.006699992809444666,6.699992809444666e-05,0.000100000761449337,1.00000761449337e-06,0.8366999973077327,0.008366999973077327,100,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,250,0,5,37.19120001187548,0.14876480004750192,7.348200000706129,0.005878560000564903,0.01479999627918005,5.91999851167202e-05,0.000100000761449337,4.00003045797348e-07,2.1983000042382628,0.008793200016953051,250,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,250,1,5,44.61569999693893,0.17846279998775572,7.183099995017983,0.005746479996014386,0.015099998563528061,6.0399994254112244e-05,0.000300002284348011,1.200009137392044e-06,2.342699997825548,0.009370799991302192,250,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,250,2,5,37.788400004501455,0.15115360001800582,7.228200003737584,0.005782560002990067,0.016599995433352888,6.639998173341155e-05,0.000100000761449337,4.00003045797348e-07,2.4148999946191907,0.009659599978476763,250,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,500,0,5,96.92970001196954,0.1938594000239391,15.162499999860302,0.00606499999994412,0.02950000634882599,5.900001269765198e-05,0.000700005330145359,1.400010660290718e-06,5.013400004827417,0.010026800009654835,500,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,500,1,5,95.47179999935906,0.19094359999871813,14.194899995345622,0.005677959998138249,0.028700000257231295,5.740000051446259e-05,0.000500003807246685,1.00000761449337e-06,4.707400003098883,0.009414800006197765,500,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,500,2,5,93.73120000236668,0.18746240000473335,15.61770000262186,0.006247080001048744,0.028800001018680632,5.7600002037361264e-05,0.000200001522898674,4.00003045797348e-07,4.893299992545508,0.009786599985091016,500,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
box_proxy,10,0,5,2.661399994394742,0.2661399994394742,0.385499995900318,0.0077099999180063605,0.05740000051446259,0.005740000051446259,0.000300002284348011,3.00002284348011e-05,0.17179999849759042,0.017179999849759042,10,10,10,10,10,10,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
box_proxy,10,1,5,1.4484999992419034,0.14484999992419034,0.37310000334400684,0.007462000066880137,0.053499999921768904,0.00534999999217689,0.000100000761449337,1.00000761449337e-05,0.13859999307896942,0.013859999307896942,10,10,10,10,10,10,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
box_proxy,10,2,5,1.3737999979639426,0.13737999979639426,0.3702000103658065,0.00740400020731613,0.05329999839887023,0.005329999839887023,0.000100000761449337,1.00000761449337e-05,0.18370000179857016,0.018370000179857016,10,10,10,10,10,10,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
box_proxy,50,0,5,8.798700000625104,0.17597400001250207,1.9073000003118068,0.007629200001247227,0.2997999981744215,0.00599599996348843,0.00039998849388211966,7.999769877642393e-06,0.5840000085299835,0.01168000017059967,50,50,50,50,50,50,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
box_proxy,50,1,5,7.079900009557605,0.1415980001911521,1.8576000002212822,0.007430400000885129,0.27609999233391136,0.005521999846678227,0.000200001522898674,4.00003045797348e-06,0.5809999856865034,0.011619999713730067,50,50,50,50,50,50,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
box_proxy,50,2,5,9.126200005994178,0.18252400011988357,1.945800002431497,0.007783200009725988,0.2965000021504238,0.0059300000430084765,0.000400003045797348,8.00006091594696e-06,0.5826999986311421,0.011653999972622842,50,50,50,50,50,50,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
box_proxy,100,0,5,22.08700000483077,0.2208700000483077,5.294999995385297,0.010589999990770593,0.6622999935643747,0.0066229999356437474,0.0005999900167807937,5.999900167807937e-06,1.2344999995548278,0.012344999995548278,100,100,100,100,100,100,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
box_proxy,100,1,5,25.946099995053373,0.25946099995053373,3.86850000359118,0.00773700000718236,0.9260000078938901,0.009260000078938901,0.0004999892553314567,4.999892553314567e-06,1.8501000013202429,0.01850100001320243,100,100,100,100,100,100,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
