baseline,count,repetition,updates_per_actor,create_total_ms,create_per_actor_ms,pose_update_total_ms,pose_update_per_actor_update_ms,shape_update_total_ms,shape_update_per_actor_ms,actors_after_create,actors_after_pose,actors_after_shape,components_after_create,components_after_pose,components_after_shape,component_names_reused_during_pose,component_names_reused_during_shape,create_payload_bytes,pose_payload_bytes_total,shape_payload_bytes,create_ok,pose_ok,shape_ok,mode
unreal_assets,10,0,5,4.91380000312347,0.49138000031234697,1.4097000093897805,0.02819400018779561,0.3581999917514622,0.03581999917514622,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,1,5,5.658299996866845,0.5658299996866845,1.2647999974433333,0.025295999948866665,0.34240000240970403,0.0342400002409704,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,2,5,5.2875000110361725,0.5287500011036173,1.2483999889809638,0.024967999779619277,0.3728000010596588,0.03728000010596588,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,3,5,3.356000001076609,0.3356000001076609,1.0914000013144687,0.021828000026289374,0.2597999991849065,0.02597999991849065,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,4,5,4.646600005798973,0.4646600005798973,1.1335000017425045,0.02267000003485009,0.3173000004608184,0.03173000004608184,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,5,5,5.162900008144788,0.5162900008144788,1.1993000080110505,0.02398600016022101,0.34779999987222254,0.034779999987222254,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,6,5,4.931800009217113,0.4931800009217113,1.1626000050455332,0.023252000100910664,0.3502999898046255,0.03502999898046255,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,7,5,5.001300000003539,0.5001300000003539,1.1910999892279506,0.02382199978455901,0.21389999892562628,0.021389999892562628,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,8,5,3.9684999937890097,0.396849999378901,1.186900000902824,0.023738000018056482,0.34779999987222254,0.034779999987222254,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,9,5,4.775699999299832,0.47756999992998317,0.8929000032367185,0.01785800006473437,0.3386000025784597,0.03386000025784597,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,0,5,24.2798999970546,0.485597999941092,4.872799996519461,0.019491199986077845,1.4919999957783148,0.029839999915566295,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,1,5,18.81399999547284,0.3762799999094568,4.590100012137555,0.01836040004855022,1.5767000004416332,0.03153400000883266,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,2,5,24.25309999671299,0.4850619999342598,5.730799995944835,0.02292319998377934,0.9735000057844445,0.01947000011568889,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,3,5,24.52439999615308,0.4904879999230616,5.894399990211241,0.023577599960844964,1.7037999932654202,0.034075999865308404,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,4,5,27.748499996960163,0.5549699999392033,4.605399997672066,0.018421599990688264,1.6036000015446916,0.03207200003089383,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,5,5,25.286999996751547,0.5057399999350309,5.393900006311014,0.021575600025244057,1.0602000111248344,0.02120400022249669,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,6,5,26.58309999969788,0.5316619999939576,6.329900003038347,0.025319600012153387,1.5941000019665807,0.031882000039331615,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,7,5,27.08290000737179,0.5416580001474358,5.835099989781156,0.023340399959124625,1.669899997068569,0.03339799994137138,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,8,5,25.58060000592377,0.5116120001184754,4.800800001248717,0.01920320000499487,1.03339999623131,0.0206679999246262,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,9,5,24.44179999292828,0.48883599985856563,5.439100001240149,0.021756400004960597,1.5027000044938177,0.030054000089876354,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,100,0,5,66.62019999930635,0.6662019999930635,22.37269999750424,0.044745399995008484,5.176999999093823,0.05176999999093823,100,100,100,100,100,100,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,100,1,5,95.89350000896957,0.9589350000896957,26.5172000072198,0.0530344000144396,4.964599997038022,0.04964599997038022,100,100,100,100,100,100,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
