baseline,count,repetition,updates_per_actor,create_total_ms,create_per_object_ms,pose_update_total_ms,pose_update_per_object_ms,shape_update_total_ms,shape_update_per_object_ms,no_op_total_ms,no_op_per_object_ms,destroy_total_ms,destroy_per_object_ms,actor_count,components_after_create,components_after_pose,components_after_shape,components_created_approx,components_destroyed_approx,components_reused_during_pose,components_reused_during_shape,component_names_reused_during_pose,component_names_reused_during_shape,descriptor_bytes,triangles_estimated,create_failures,pose_failures,shape_failures,no_op_failures,mode
no_render,10,0,5,0.06970000686123967,0.006970000686123967,0.007399998139590025,0.0001479999627918005,0.000200001522898674,2.00001522898674e-05,0.000400003045797348,4.00003045797348e-05,0.000300002284348011,3.00002284348011e-05,10,0,0,0,0,0,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,1,5,0.033200005418621004,0.0033200005418621004,0.005800000508315861,0.00011600001016631722,0.000200001522898674,2.00001522898674e-05,0.000200001522898674,2.00001522898674e-05,0.000200001522898674,2.00001522898674e-05,10,0,0,0,0,0,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,2,5,0.030199997127056122,0.003019999712705612,0.005900001269765198,0.00011800002539530396,0.000200001522898674,2.00001522898674e-05,0.000100000761449337,1.00000761449337e-05,0.000100000761449337,1.00000761449337e-05,10,0,0,0,0,0,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,3,5,0.031200004741549492,0.003120000474154949,0.005599998985417187,0.00011199997970834374,0.00019998697098344564,1.9998697098344564e-05,0.000100000761449337,1.00000761449337e-05,0.0,0.0,10,0,0,0,0,0,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,4,5,0.028599999495781958,0.002859999949578196,0.005900001269765198,0.00011800002539530396,0.000100000761449337,1.00000761449337e-05,0.000100000761449337,1.00000761449337e-05,0.000100000761449337,1.00000761449337e-05,10,0,0,0,0,0,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,5,5,0.02950000634882599,0.002950000634882599,0.005400012014433742,0.00010800024028867483,0.000200001522898674,2.00001522898674e-05,0.000100000761449337,1.00000761449337e-05,0.000100000761449337,1.00000761449337e-05,10,0,0,0,0,0,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,6,5,0.028099995688535273,0.0028099995688535273,0.005399997462518513,0.00010799994925037026,0.000200001522898674,2.00001522898674e-05,0.000100000761449337,1.00000761449337e-05,0.000100000761449337,1.00000761449337e-05,10,0,0,0,0,0,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,7,5,0.028399997972883284,0.0028399997972883284,0.006000002031214535,0.0001200000406242907,0.000200001522898674,2.00001522898674e-05,9.998620953410864e-05,9.998620953410864e-06,0.000100000761449337,1.00000761449337e-05,10,0,0,0,0,0,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,8,5,0.02849999873433262,0.002849999873433262,0.005699999746866524,0.00011399999493733048,0.000200001522898674,2.00001522898674e-05,0.000100000761449337,1.00000761449337e-05,0.000100000761449337,1.00000761449337e-05,10,0,0,0,0,0,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,9,5,0.02849999873433262,0.002849999873433262,0.00549999822396785,0.000109999964479357,0.00019998697098344564,1.9998697098344564e-05,0.000100000761449337,1.00000761449337e-05,0.000100000761449337,1.00000761449337e-05,10,0,0,0,0,0,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,50,0,5,0.14969999028835446,0.002993999805767089,0.0219999928958714,8.79999715834856e-05,0.000200001522898674,4.00003045797348e-06,9.998620953410864e-05,1.9997241906821728e-06,0.000100000761449337,2.00001522898674e-06,50,0,0,0,0,0,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,50,1,5,0.14210000517778099,0.0028420001035556197,0.02230000973213464,8.920003892853856e-05,0.000200001522898674,4.00003045797348e-06,0.000100000761449337,2.00001522898674e-06,0.000200001522898674,4.00003045797348e-06,50,0,0,0,0,0,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
