class_name,builder_key,status,n,min_us,mean_us,p50_us,p95_us,p99_us,max_us
bike,biker,ok,100,980.2,1285.3210000000001,1248.6,1633.8,2292.8,2837.7
cow,cow,ok,100,1109.9,1355.273,1311.0,1711.9,1911.4,2006.6
tower,,missing_builder,,,,,,,
car,car,ok,100,963.0,1228.269,1201.9,1480.4,1533.7,3609.6
truck,truck,ok,100,1416.8,1663.845,1658.3,1981.1,2068.5,2227.2
tractor,tractor,ok,100,1034.2,1326.021,1285.5,1586.9,2089.2,2502.2
tree,tree,ok,100,736.2,985.495,971.8,1268.0,1364.0,1456.7
