baseline,count,action,n,batch_total_ms_mean,batch_total_ms_p50,batch_total_ms_p95,batch_total_ms_max,per_actor_ms_p50,per_actor_ms_p95,http_requests,components_after_action,payload_bytes_mean
no_render,10,create,10,9.901870001340285,10.023599999840371,10.959999999613501,10.959999999613501,1.0023599999840371,1.0959999999613501,10,0,58384
no_render,10,pose_poll,50,5.5276679986855015,5.816599994432181,5.83829999959562,5.842399987159297,0.5816599994432181,0.583829999959562,50,0,2772.6
no_render,10,shape,10,5.304460000479594,5.687199998646975,5.719900000258349,5.719900000258349,0.5687199998646975,0.5719900000258349,10,0,3680
no_render,50,create,10,27.713249997759704,28.50659999239724,35.504999992554076,35.504999992554076,0.5701319998479448,0.7100999998510815,10,0,246060
no_render,50,pose_poll,50,5.8068199988338165,5.752800003392622,6.754000001819804,7.484499990823679,0.11505600006785244,0.1350800000363961,50,0,13765.4
no_render,50,shape,10,6.431249997694977,6.527499994263053,8.448499997030012,8.448499997030012,0.13054999988526106,0.16896999994060025,10,0,18262
no_render,100,create,10,53.826060000574216,52.77870000281837,71.70479999331292,71.70479999331292,0.5277870000281837,0.7170479999331292,10,0,492107
no_render,100,pose_poll,50,6.64526799984742,6.6503999987617135,7.5446999981068075,9.279899997636676,0.06650399998761714,0.07544699998106807,50,0,27515.4
no_render,100,shape,10,7.4138800031505525,7.391500010271557,8.42299999203533,8.42299999203533,0.07391500010271557,0.0842299999203533,10,0,36509
no_render,250,create,10,127.31843999936245,126.1054999922635,142.58320000953972,142.58320000953972,0.504421999969054,0.5703328000381589,10,0,1230421
no_render,250,pose_poll,50,9.781633999373298,9.50600000214763,11.331700006849132,19.005800000741147,0.03802400000859052,0.04532680002739653,50,0,68916.8
no_render,250,shape,10,12.437070003943518,12.106399997719564,14.7004000027664,14.7004000027664,0.048425599990878254,0.0588016000110656,10,0,91396
no_render,500,create,10,273.9009899989469,255.12710001203232,440.19890000345185,440.19890000345185,0.5102542000240646,0.8803978000069037,10,0,2460928
no_render,500,pose_poll,50,18.53453199932119,16.302399992127903,32.16370000154711,45.51529999298509,0.032604799984255806,0.06432740000309423,50,0,137918.2
no_render,500,shape,10,25.27000000263797,22.461200001998805,50.71260000113398,50.71260000113398,0.04492240000399761,0.10142520000226796,10,0,182878
unreal_assets,10,create,10,11.714029998984188,11.660400006803684,13.693000000785105,13.693000000785105,1.1660400006803684,1.3693000000785105,10,10,58384
unreal_assets,10,pose_poll,50,5.723333999922033,5.81380000221543,5.834699986735359,5.919900009757839,0.581380000221543,0.5834699986735359,50,10,2772.6
unreal_assets,10,shape,10,5.440819998329971,5.468200004543178,5.524599997443147,5.524599997443147,0.5468200004543178,0.5524599997443147,10,10,3680
unreal_assets,50,create,10,30.399359996954445,29.959599996800534,34.56079999159556,34.56079999159556,0.5991919999360107,0.6912159998319112,10,50,246060
