backend,count,repetition,action,sequence,payload_bytes,elapsed_ms,ok,managed_actors,static_mesh_components,estimated_triangles,estimated_draw_calls
semantic_proxy_instanced,250,0,create,0,944478,47.861000,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,1,33086,3.654400,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,2,32422,3.761600,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,3,32988,3.823700,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,4,32120,3.936800,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,5,32742,3.702900,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,6,32552,3.674600,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,7,32764,3.912700,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,8,32786,3.882800,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,9,32516,4.046300,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,10,32760,3.841000,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,1,87059,6.018700,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,2,88852,6.007200,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,3,86880,6.253700,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,4,86213,6.291800,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,5,86511,5.803900,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,6,86837,5.783000,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,7,88926,6.467600,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,8,86775,6.156200,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,9,88626,6.325000,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,10,88690,6.402900,1,1,11,516016,11
semantic_proxy_instanced,250,1,create,0,944478,47.164000,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,1,33086,4.027500,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,2,32422,3.668400,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,3,32988,3.559700,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,4,32120,3.782200,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,5,32742,4.071600,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,6,32552,3.708400,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,7,32764,3.979800,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,8,32786,3.780600,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,9,32516,3.732500,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,10,32760,4.220500,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,1,87059,5.910600,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,2,88852,6.417200,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,3,86880,6.195900,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,4,86213,6.183300,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,5,86511,5.863800,1,1,11,516016,11
