backend,count,repetition,phase,sample_type,frame_in_phase,delta_ms,fps,managed_actors,static_mesh_components,estimated_triangles,estimated_draw_calls
semantic_proxy_instanced,100,0,create_steady,warmup,0,53.323803,18.753351,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,1,12.813799,78.040871,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,2,23.572500,42.422314,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,3,11.379998,87.873474,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,4,12.037903,83.070946,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,5,9.282898,107.724976,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,6,9.678301,103.323929,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,7,10.306101,97.029900,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,8,8.317199,120.232788,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,9,8.263301,121.017014,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,10,9.236797,108.262627,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,11,9.137001,109.445099,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,12,8.197099,121.994377,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,13,9.730000,102.774925,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,14,9.617500,103.977127,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,15,9.505700,105.200035,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,16,9.318702,107.311081,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,17,9.231698,108.322433,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,18,9.875800,101.257614,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,19,9.906001,100.948906,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,20,9.653400,103.590439,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,21,9.341497,107.049225,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,22,9.499002,105.274216,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,23,9.735801,102.713692,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,24,11.237100,88.990936,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,25,8.966700,111.523758,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,26,11.515301,86.840981,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,27,10.347198,96.644516,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,28,25.306803,39.515068,1,11,208864,11
