backend,count,phase,n,frame_p50_ms,frame_p95_ms,frame_p99_ms,fps_p50,hitch_gt_33ms,hitch_gt_50ms,actors_p50,components_p50,triangles_p50,estimated_draw_calls_p50
semantic_proxy_instanced,100,create_steady,360,5.6767,7.68797095,8.517222180000001,176.1588135,0,0,1.0,11.0,208864.0,11.0
semantic_proxy_instanced,100,pose_stream,360,5.781598499999999,16.624316,20.021231820000033,172.962616,0,0,1.0,11.0,208864.0,11.0
semantic_proxy_instanced,100,shape_stream,360,5.6036505000000005,37.12586195,44.931423410000015,178.455101,22,1,1.0,11.0,208864.0,11.0
