baseline,count,action,n,batch_total_ms_mean,batch_total_ms_p50,batch_total_ms_p95,batch_total_ms_max,per_actor_ms_p50,per_actor_ms_p95,http_requests,components_after_action,payload_bytes_mean
no_render,2,create,1,7.274300005519763,7.274300005519763,7.274300005519763,7.274300005519763,3.6371500027598813,3.6371500027598813,1,0,14242
no_render,2,pose_poll,1,5.394399995566346,5.394399995566346,5.394399995566346,5.394399995566346,2.697199997783173,2.697199997783173,1,0,2063
no_render,2,shape,1,5.639399998472072,5.639399998472072,5.639399998472072,5.639399998472072,2.819699999236036,2.819699999236036,1,0,1849
unreal_assets,2,create,1,7.3708999989321455,7.3708999989321455,7.3708999989321455,7.3708999989321455,3.6854499994660728,3.6854499994660728,1,2,14242
unreal_assets,2,pose_poll,1,5.3152999898884445,5.3152999898884445,5.3152999898884445,5.3152999898884445,2.6576499949442223,2.6576499949442223,1,2,2063
unreal_assets,2,shape,1,5.568900000071153,5.568900000071153,5.568900000071153,5.568900000071153,2.7844500000355765,2.7844500000355765,1,2,1849
semantic_proxy,2,create,1,11.581200000364333,11.581200000364333,11.581200000364333,11.581200000364333,5.790600000182167,5.790600000182167,1,31,14242
semantic_proxy,2,pose_poll,1,6.131300004199147,6.131300004199147,6.131300004199147,6.131300004199147,3.0656500020995736,3.0656500020995736,1,31,2063
semantic_proxy,2,shape,1,6.070999996154569,6.070999996154569,6.070999996154569,6.070999996154569,3.0354999980772845,3.0354999980772845,1,31,1849
