baseline,count,action,n,batch_total_ms_mean,batch_total_ms_p50,batch_total_ms_p95,batch_total_ms_max,per_actor_ms_p50,per_actor_ms_p95,http_requests,components_after_action,payload_bytes_mean
no_render,2,create,1,6.549900004756637,6.549900004756637,6.549900004756637,6.549900004756637,3.2749500023783185,3.2749500023783185,1,0,14242
no_render,2,pose_poll,1,5.516199991689064,5.516199991689064,5.516199991689064,5.516199991689064,2.758099995844532,2.758099995844532,1,0,557
no_render,2,shape,1,5.74189999315422,5.74189999315422,5.74189999315422,5.74189999315422,2.87094999657711,2.87094999657711,1,0,735
unreal_assets,2,create,1,6.5725999884307384,6.5725999884307384,6.5725999884307384,6.5725999884307384,3.2862999942153692,3.2862999942153692,1,2,14242
unreal_assets,2,pose_poll,1,4.878000007010996,4.878000007010996,4.878000007010996,4.878000007010996,2.439000003505498,2.439000003505498,1,2,557
unreal_assets,2,shape,1,5.64940000185743,5.64940000185743,5.64940000185743,5.64940000185743,2.824700000928715,2.824700000928715,1,2,735
semantic_proxy,2,create,1,11.532699994859286,11.532699994859286,11.532699994859286,11.532699994859286,5.766349997429643,5.766349997429643,1,31,14242
semantic_proxy,2,pose_poll,1,6.342599997879006,6.342599997879006,6.342599997879006,6.342599997879006,3.171299998939503,3.171299998939503,1,31,557
semantic_proxy,2,shape,1,5.7665000058477744,5.7665000058477744,5.7665000058477744,5.7665000058477744,2.8832500029238872,2.8832500029238872,1,31,735
