comparison,target_baseline,reference_baseline,count,action,n,delta_batch_ms_mean,delta_batch_ms_p50,delta_batch_ms_p95,delta_batch_ms_max,delta_batch_ms_mean_ci95_low,delta_batch_ms_mean_ci95_high,delta_per_actor_ms_p50,delta_per_actor_ms_p95,components_delta,payload_bytes_delta_mean
unreal_assets_minus_no_render,unreal_assets,no_render,2,create,1,0.02269998367410153,0.02269998367410153,0.02269998367410153,0.02269998367410153,0.02269998367410153,0.02269998367410153,0.011349991837050766,0.011349991837050766,2,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,2,pose_poll,1,-0.6381999846780673,-0.6381999846780673,-0.6381999846780673,-0.6381999846780673,-0.6381999846780673,-0.6381999846780673,-0.31909999233903363,-0.31909999233903363,2,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,2,shape,1,-0.09249999129679054,-0.09249999129679054,-0.09249999129679054,-0.09249999129679054,-0.09249999129679054,-0.09249999129679054,-0.04624999564839527,-0.04624999564839527,2,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,2,create,1,4.982799990102649,4.982799990102649,4.982799990102649,4.982799990102649,4.982799990102649,4.982799990102649,2.4913999950513244,2.4913999950513244,31,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,2,pose_poll,1,0.8264000061899424,0.8264000061899424,0.8264000061899424,0.8264000061899424,0.8264000061899424,0.8264000061899424,0.4132000030949712,0.4132000030949712,31,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,2,shape,1,0.024600012693554163,0.024600012693554163,0.024600012693554163,0.024600012693554163,0.024600012693554163,0.024600012693554163,0.012300006346777081,0.012300006346777081,31,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,2,create,1,4.960100006428547,4.960100006428547,4.960100006428547,4.960100006428547,4.960100006428547,4.960100006428547,2.4800500032142736,2.4800500032142736,29,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,2,pose_poll,1,1.4645999908680096,1.4645999908680096,1.4645999908680096,1.4645999908680096,1.4645999908680096,1.4645999908680096,0.7322999954340048,0.7322999954340048,29,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,2,shape,1,0.1171000039903447,0.1171000039903447,0.1171000039903447,0.1171000039903447,0.1171000039903447,0.1171000039903447,0.05855000199517235,0.05855000199517235,29,0.0
