baseline,count,action,n,batch_total_ms_mean,batch_total_ms_p50,batch_total_ms_p95,batch_total_ms_max,per_actor_ms_p50,per_actor_ms_p95,http_requests,components_after_action,payload_bytes_mean
no_render,10,create,1,13.010599999688566,13.010599999688566,13.010599999688566,13.010599999688566,1.3010599999688566,1.3010599999688566,1,0,58384
no_render,10,pose_poll,1,9.831600007601082,9.831600007601082,9.831600007601082,9.831600007601082,0.9831600007601082,0.9831600007601082,1,0,2773
no_render,10,shape,1,9.355199988931417,9.355199988931417,9.355199988931417,9.355199988931417,0.9355199988931417,0.9355199988931417,1,0,3663
unreal_assets,10,create,1,20.12040000408888,20.12040000408888,20.12040000408888,20.12040000408888,2.012040000408888,2.012040000408888,1,10,58384
unreal_assets,10,pose_poll,1,11.439900001278147,11.439900001278147,11.439900001278147,11.439900001278147,1.1439900001278147,1.1439900001278147,1,10,2773
unreal_assets,10,shape,1,34.72120000515133,34.72120000515133,34.72120000515133,34.72120000515133,3.472120000515133,3.472120000515133,1,10,3663
semantic_proxy,10,create,1,20.645599986892194,20.645599986892194,20.645599986892194,20.645599986892194,2.0645599986892194,2.0645599986892194,1,110,58384
semantic_proxy,10,pose_poll,1,7.293800008483231,7.293800008483231,7.293800008483231,7.293800008483231,0.7293800008483231,0.7293800008483231,1,110,2773
semantic_proxy,10,shape,1,10.153399998671375,10.153399998671375,10.153399998671375,10.153399998671375,1.0153399998671375,1.0153399998671375,1,110,3663
