comparison,target_baseline,reference_baseline,count,action,n,delta_batch_ms_mean,delta_batch_ms_p50,delta_batch_ms_p95,delta_batch_ms_max,delta_batch_ms_mean_ci95_low,delta_batch_ms_mean_ci95_high,delta_per_actor_ms_p50,delta_per_actor_ms_p95,components_delta,payload_bytes_delta_mean
unreal_assets_minus_no_render,unreal_assets,no_render,10,create,1,7.109800004400313,7.109800004400313,7.109800004400313,7.109800004400313,7.109800004400313,7.109800004400313,0.7109800004400313,0.7109800004400313,10,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,10,pose_poll,1,1.6082999936770648,1.6082999936770648,1.6082999936770648,1.6082999936770648,1.6082999936770648,1.6082999936770648,0.16082999936770648,0.16082999936770648,10,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,10,shape,1,25.366000016219914,25.366000016219914,25.366000016219914,25.366000016219914,25.366000016219914,25.366000016219914,2.5366000016219914,2.5366000016219914,10,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,10,create,1,7.634999987203628,7.634999987203628,7.634999987203628,7.634999987203628,7.634999987203628,7.634999987203628,0.7634999987203628,0.7634999987203628,110,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,10,pose_poll,1,-2.5377999991178513,-2.5377999991178513,-2.5377999991178513,-2.5377999991178513,-2.5377999991178513,-2.5377999991178513,-0.2537799999117851,-0.2537799999117851,110,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,10,shape,1,0.7982000097399577,0.7982000097399577,0.7982000097399577,0.7982000097399577,0.7982000097399577,0.7982000097399577,0.07982000097399577,0.07982000097399577,110,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,10,create,1,0.5251999828033149,0.5251999828033149,0.5251999828033149,0.5251999828033149,0.5251999828033149,0.5251999828033149,0.05251999828033149,0.05251999828033149,100,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,10,pose_poll,1,-4.146099992794916,-4.146099992794916,-4.146099992794916,-4.146099992794916,-4.146099992794916,-4.146099992794916,-0.4146099992794916,-0.4146099992794916,100,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,10,shape,1,-24.567800006479956,-24.567800006479956,-24.567800006479956,-24.567800006479956,-24.567800006479956,-24.567800006479956,-2.4567800006479956,-2.4567800006479956,100,0.0
