backend,count,repetition,action,sequence,payload_bytes,elapsed_ms,ok,managed_actors,static_mesh_components,estimated_triangles,estimated_draw_calls
no_render,10,0,create,0,2186,0.103300,1,0,0,0,0
no_render,10,0,pose_update,1,2530,0.085800,1,0,0,0,0
no_render,10,0,pose_update,2,2530,0.107000,1,0,0,0,0
no_render,10,0,pose_update,3,2474,0.092700,1,0,0,0,0
no_render,10,0,shape_param_update,1,2198,0.088900,1,0,0,0,0
no_render,10,0,shape_param_update,2,2198,0.086200,1,0,0,0,0
no_render,10,0,shape_param_update,3,2199,0.084400,1,0,0,0,0
unreal_assets,10,0,create,0,2190,0.787700,1,10,10,480,10
unreal_assets,10,0,pose_update,1,2534,0.250400,1,10,10,480,10
unreal_assets,10,0,pose_update,2,2534,0.238700,1,10,10,480,10
unreal_assets,10,0,pose_update,3,2478,0.231900,1,10,10,480,10
unreal_assets,10,0,shape_param_update,1,2202,0.255800,1,10,10,480,10
unreal_assets,10,0,shape_param_update,2,2202,0.216000,1,10,10,480,10
unreal_assets,10,0,shape_param_update,3,2203,0.229200,1,10,10,480,10
semantic_proxy,10,0,create,0,38016,5.216300,1,10,44,23760,44
semantic_proxy,10,0,pose_update,1,13205,0.697100,1,10,44,23760,44
semantic_proxy,10,0,pose_update,2,13075,0.683200,1,10,44,23760,44
semantic_proxy,10,0,pose_update,3,13137,0.692100,1,10,44,23760,44
semantic_proxy,10,0,shape_param_update,1,12973,0.822400,1,10,44,23760,44
semantic_proxy,10,0,shape_param_update,2,12843,0.745400,1,10,44,23760,44
semantic_proxy,10,0,shape_param_update,3,12962,0.771700,1,10,44,23760,44
