epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,92.4728,1.57745,1.45142,1.10744,0.52258,0.36257,0.40444,0.18015,2.27913,1.80245,1.43177,0.00113898,0.00113898,0.00113898
43,94.3477,1.54252,1.34439,1.10791,0.46295,0.54678,0.41793,0.15823,2.27286,2.18697,1.46119,0.00113191,0.00113191,0.00113191
44,96.285,1.47028,1.21535,1.09138,0.50389,0.28363,0.38234,0.15052,2.43999,3.15112,1.51788,0.00112484,0.00112484,0.00112484
45,98.2179,1.50798,1.19788,1.09499,0.34182,0.45194,0.33932,0.16075,2.387,3.28983,1.48634,0.00111776,0.00111776,0.00111776
46,100.175,1.44473,1.17386,1.09794,0.46134,0.51751,0.33649,0.13,2.23067,3.69916,1.47816,0.00111069,0.00111069,0.00111069
47,102.071,1.54251,1.18953,1.0565,0.49793,0.27289,0.31488,0.12181,2.22139,2.90013,1.49121,0.00110362,0.00110362,0.00110362
48,103.998,1.39824,1.17681,1.04335,0.41411,0.27222,0.28335,0.13354,2.13993,2.0245,1.42549,0.00109654,0.00109654,0.00109654
49,105.881,1.46596,1.19615,1.02166,0.56493,0.27655,0.32868,0.14626,2.13132,1.72802,1.39635,0.00108947,0.00108947,0.00108947
50,107.779,1.39734,1.1944,1.0575,0.57177,0.27515,0.34527,0.14791,2.07492,1.64846,1.37535,0.0010824,0.0010824,0.0010824
51,109.661,1.44682,1.09512,1.04822,0.94239,0.28282,0.36524,0.16406,2.00997,1.67438,1.40479,0.00107532,0.00107532,0.00107532
52,111.589,1.4526,1.13069,1.06183,0.51674,0.27778,0.34385,0.14339,2.02505,1.86427,1.40238,0.00106825,0.00106825,0.00106825
53,113.519,1.39069,1.07809,1.05707,0.42472,0.5,0.35361,0.13702,2.04211,2.06833,1.404,0.00106118,0.00106118,0.00106118
