backend,count,repetition,phase,sample_type,frame_in_phase,delta_ms,fps,managed_actors,static_mesh_components,estimated_triangles,estimated_draw_calls
semantic_proxy_instanced,100,0,create_steady,warmup,0,53.233597,18.785130,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,1,12.946199,77.242744,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,2,27.192503,36.774841,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,3,11.407200,87.663933,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,4,11.348300,88.118927,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,5,8.904200,112.306549,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,6,8.469298,118.073532,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,7,8.443002,118.441292,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,8,9.122100,109.623886,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,9,10.141000,98.609604,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,10,10.651999,93.879097,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,11,8.364800,119.548576,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,12,9.448200,105.840263,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,13,8.638699,115.758179,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,14,11.192601,89.344734,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,15,7.701401,129.846512,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,16,8.190497,122.092705,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,17,8.660901,115.461426,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,18,8.945801,111.784294,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,19,8.335098,119.974586,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,20,8.332200,120.016319,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,21,8.238699,121.378380,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,22,8.978803,111.373421,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,23,8.272197,120.886871,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,24,9.133302,109.489433,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,25,8.296501,120.532745,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,26,8.718100,114.703896,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,27,8.211501,121.780418,1,11,208864,11
