backend,count,repetition,action,sequence,payload_bytes,elapsed_ms,ok,managed_actors,static_mesh_components,estimated_triangles,estimated_draw_calls
semantic_proxy_instanced,100,0,create,0,378577,20.181900,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,1,130916,9.540300,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,2,129348,9.279800,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,3,130602,9.827100,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,4,126953,9.154900,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,5,129577,9.159200,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,6,129083,9.334800,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,7,130741,8.889400,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,8,130181,9.472400,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,9,129094,9.433900,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,10,130040,9.628100,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,1,35970,2.766400,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,2,35568,2.573900,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,3,35923,2.403300,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,4,33321,2.460900,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,5,35637,2.382100,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,6,33725,2.416500,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,7,35630,2.355400,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,8,35859,2.369100,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,9,35480,2.274000,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,10,35531,2.497800,1,1,11,208864,11
semantic_proxy_instanced,100,1,create,0,378577,21.448400,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,1,130916,9.771400,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,2,129348,9.382700,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,3,130602,9.082700,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,4,126953,9.248300,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,5,129577,9.700800,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,6,129083,9.398900,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,7,130741,9.417700,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,8,130181,9.532600,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,9,129094,9.231200,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,10,130040,9.343400,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,1,35970,2.670300,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,2,35568,2.497600,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,3,35923,2.506400,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,4,33321,2.247800,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,5,35637,2.494400,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,6,33725,2.379900,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,7,35630,2.321100,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,8,35859,2.290500,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,9,35480,2.726800,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,10,35531,2.602300,1,1,11,208864,11
semantic_proxy_instanced,100,2,create,0,378577,18.619200,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,1,130916,9.087500,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,2,129348,8.609000,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,3,130602,8.860500,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,4,126953,9.032200,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,5,129577,8.831300,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,6,129083,9.087300,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,7,130741,9.048600,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,8,130181,9.532400,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,9,129094,9.347000,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,10,130040,8.951800,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,1,35970,2.560500,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,2,35568,2.532000,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,3,35923,2.365100,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,4,33321,2.285300,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,5,35637,2.216300,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,6,33725,2.174500,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,7,35630,2.504900,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,8,35859,2.394600,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,9,35480,2.390100,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,10,35531,2.424700,1,1,11,208864,11
semantic_proxy_instanced,250,0,create,0,944478,47.501000,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,1,327208,22.357800,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,2,322388,21.792500,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,3,326552,22.261100,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,4,316365,21.867800,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,5,323903,22.405600,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,6,321955,21.484600,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,7,326774,22.312200,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,8,325046,22.165100,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,9,322454,22.417900,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,10,324802,22.810600,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,1,87059,6.099700,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,2,88852,6.017200,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,3,86880,6.028600,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,4,86213,6.037000,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,5,86511,6.248200,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,6,86837,6.231500,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,7,88926,6.268500,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,8,86775,6.521900,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,9,88626,6.039100,1,1,11,516016,11
semantic_proxy_instanced,250,0,shape_param_update,10,88690,5.941100,1,1,11,516016,11
semantic_proxy_instanced,250,1,create,0,944478,46.327100,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,1,327208,23.303500,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,2,322388,22.834100,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,3,326552,23.156900,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,4,316365,23.833100,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,5,323903,23.662700,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,6,321955,22.975100,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,7,326774,23.963900,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,8,325046,23.218500,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,9,322454,22.777300,1,1,11,516016,11
semantic_proxy_instanced,250,1,pose_update,10,324802,23.493600,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,1,87059,5.937700,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,2,88852,5.895400,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,3,86880,5.980200,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,4,86213,6.031100,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,5,86511,5.816600,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,6,86837,5.743400,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,7,88926,6.496100,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,8,86775,6.273600,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,9,88626,6.695400,1,1,11,516016,11
semantic_proxy_instanced,250,1,shape_param_update,10,88690,5.807300,1,1,11,516016,11
semantic_proxy_instanced,250,2,create,0,944478,55.776200,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,1,327208,20.380200,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,2,322388,19.607000,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,3,326552,21.170800,1,1,11,516016,11
semantic_proxy_instanced,250,2,pose_update,4,316365,20.625700,1,1,11,516016,11
