epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,77.7085,0.38525,1.37037,0.81601,0.99389,1,0.995,0.64756,1.31915,2.00712,1.28321,0.000581,0.000581,0.000581
45,79.0753,0.41248,1.43822,0.81446,0.99397,1,0.995,0.63522,1.34412,1.99035,1.28753,0.000548,0.000548,0.000548
46,80.4772,0.39683,1.10276,0.83625,1,0.9961,0.995,0.67227,1.242,2.03189,1.26916,0.000515,0.000515,0.000515
47,81.932,0.34116,1.06724,0.8181,0.98166,0.9912,0.99445,0.67932,1.18339,2.09067,1.3019,0.000482,0.000482,0.000482
48,83.3504,0.34607,1.12819,0.82816,0.98141,0.97784,0.99244,0.676,1.16509,2.09547,1.31813,0.000449,0.000449,0.000449
49,84.8058,0.37554,1.05692,0.83041,0.96157,0.96296,0.98613,0.68685,1.12674,2.08176,1.31008,0.000416,0.000416,0.000416
50,86.2242,0.32385,1.2254,0.79686,0.95948,0.87718,0.98273,0.70141,1.09038,2.10753,1.29419,0.000383,0.000383,0.000383
51,103.639,0.347,1.6837,0.80944,0.93571,0.80872,0.9784,0.68451,1.10343,2.19833,1.26315,0.00035,0.00035,0.00035
52,105.029,0.28643,1.6034,0.79178,0.93198,0.76126,0.97392,0.68327,1.09085,2.31247,1.24316,0.000317,0.000317,0.000317
53,106.427,0.30238,1.65778,0.76555,0.97301,0.74074,0.94668,0.6737,1.05992,2.43882,1.22925,0.000284,0.000284,0.000284
54,107.773,0.28481,1.62505,0.77644,0.93833,0.74074,0.92959,0.6749,1.0546,2.53715,1.23141,0.000251,0.000251,0.000251
55,109.156,0.29968,1.69198,0.79901,0.95304,0.75179,0.95398,0.69289,1.04242,2.51849,1.22266,0.000218,0.000218,0.000218
56,110.509,0.28362,1.57789,0.80528,0.93426,0.78956,0.97357,0.72144,1.0177,2.36403,1.19288,0.000185,0.000185,0.000185
57,111.875,0.24467,1.5181,0.78591,0.93842,0.84672,0.97819,0.72136,1.00622,2.20719,1.16332,0.000152,0.000152,0.000152
58,113.246,0.25428,1.51225,0.78386,0.94056,0.87922,0.98334,0.72509,1.01041,2.11501,1.15851,0.000119,0.000119,0.000119
59,114.664,0.23513,1.47913,0.78281,0.94484,0.95172,0.98464,0.72122,0.99751,2.04221,1.15494,8.6e-05,8.6e-05,8.6e-05
60,116.051,0.22235,1.44994,0.76466,0.94483,0.95156,0.98424,0.72068,0.98635,2.03184,1.15099,5.3e-05,5.3e-05,5.3e-05
