kind,label,archetype,resolution_status,unknown_label,yaw_source,yaw_ambiguous,scale_source,parts,triangles,descriptor_bytes,packet_bytes,descriptor_build_us,schedule_us,action
known,car,car,exact_class,False,none,True,template_prior,12,864,5420,4380,279.3,2.1,create
known,truck,truck,exact_class,False,none,True,template_prior,19,1668,7334,6285,279.5,5.1,create
known,tractor,tractor,exact_class,False,none,True,template_prior,14,960,5960,4904,199.1,1.4,create
known,cow,cow,exact_class,False,none,True,template_prior,14,1056,5927,4886,191.6,1.1,create
known,tree,tree,exact_class,False,none,True,template_prior,5,488,3659,2616,102.8,0.8,create
known,biker,biker,exact_class,False,none,True,template_prior,13,900,5707,4659,154.9,0.7,create
open_keyword,delivery van,light_vehicle,keyword_archetype,False,none,True,template_prior,12,864,5504,4428,153.6,1.0,create
open_keyword,antenna mast,vertical_structure,keyword_archetype,False,none,True,template_prior,4,90,3409,2336,51.0,0.7,create
open_keyword,horse animal,quadruped,keyword_archetype,False,none,True,template_prior,14,1056,6007,4930,183.5,0.8,create
unknown_fallback,solar panel,unknown,fallback_unknown_label,True,none,True,template_prior,3,94,3160,2071,47.8,0.6,create
unknown_fallback,shipping container,unknown,fallback_unknown_label,True,none,True,template_prior,3,94,3202,2085,44.1,0.6,create
unknown_fallback,barrel,unknown,fallback_unknown_label,True,none,True,template_prior,3,94,3130,2061,48.0,0.6,create
