variant,base_label,method,target_length_m,target_width_m,target_height_m,aabb_length_m,aabb_width_m,aabb_height_m,mean_dim_rel_error,p50_build_ms,p95_build_ms,triangles,mesh_path
tree_short,tree,box,1.4,1.35,2.1,1.4,1.35,2.1,0.0,0.0046000059228390455,0.005699999746866524,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/box/tree_short/tree_short.obj
tree_tall,tree,sppa_fixed,2.2,1.85,4.8,1.8290987769469598,1.5,3.12,0.23592688473776616,0.16630000027362257,0.17329999536741525,488,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_fixed/tree_tall/tree_tall.obj
tree_tall,tree,sppa_global_scaled,2.2,1.85,4.8,2.2,1.85,4.8,0.0,0.26575000083539635,0.29299999005161226,488,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_global_scaled/tree_tall/tree_tall.obj
tree_tall,tree,sppa_parametric,2.2,1.85,4.8,1.8290987769469598,1.5,3.12,0.23592688473776616,0.1638999965507537,0.18859999545384198,488,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_parametric/tree_tall/tree_tall.obj
tree_tall,tree,box,2.2,1.85,4.8,2.2,1.85,4.8,0.0,0.0046000059228390455,0.005699999746866524,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/box/tree_tall/tree_tall.obj
biker_child,biker,sppa_fixed,1.35,0.52,1.55,2.55,0.3804226065180615,2.1643443626772756,0.5178860516681688,0.2898500024457462,0.3251000016462058,900,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_fixed/biker_child/biker_child.obj
biker_child,biker,sppa_global_scaled,1.35,0.52,1.55,1.3500000000000003,0.52,1.55,5.482582837655094e-17,0.4547000062302686,0.48409998998977244,900,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_global_scaled/biker_child/biker_child.obj
biker_child,biker,sppa_parametric,1.35,0.52,1.55,2.55,0.3804226065180615,2.1643443626772756,0.5178860516681688,0.2816500054905191,0.33319999056402594,900,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_parametric/biker_child/biker_child.obj
biker_child,biker,box,1.35,0.52,1.55,1.35,0.52,1.55,0.0,0.0045000051613897085,0.006399990525096655,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/box/biker_child/biker_child.obj
biker_adult,biker,sppa_fixed,1.95,0.7,2.25,2.55,0.3804226065180615,2.1643443626772756,0.26743353779378903,0.2847499999916181,0.29579999682027847,900,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_fixed/biker_adult/biker_adult.obj
biker_adult,biker,sppa_global_scaled,1.95,0.7,2.25,1.95,0.7,2.25,0.0,0.4447999963304028,0.48800000513438135,900,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_global_scaled/biker_adult/biker_adult.obj
biker_adult,biker,sppa_parametric,1.95,0.7,2.25,2.55,0.3804226065180615,2.1643443626772756,0.26743353779378903,0.2843999973265454,0.2972000074805692,900,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/sppa_parametric/biker_adult/biker_adult.obj
biker_adult,biker,box,1.95,0.7,2.25,1.95,0.7,2.25,0.0,0.0044000043999403715,0.00549999822396785,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_parametric_parts/outputs_scale/box/biker_adult/biker_adult.obj
