frame_idx,t_rel_s,t_unix,lat,lon,alt_msl,rel_alt,roll,pitch,yaw
65,1.111237,1783330729.364,42.1424835,-1.5887321,303.73,47.35,1.44,-3.89,74.05
66,1.128333,1783330729.381,42.1424836,-1.5887304,303.75,47.37,1.43,-3.93,74.04
67,1.145429,1783330729.398,42.1424865,-1.5887298,303.56,47.18,1.42,-3.96,74.04
68,1.162525,1783330729.416,42.1424866,-1.5887281,303.58,47.20,1.44,-3.95,74.03
69,1.179621,1783330729.433,42.1424867,-1.5887265,303.60,47.22,1.47,-3.93,74.01
70,1.196717,1783330729.450,42.1424868,-1.5887248,303.61,47.23,1.50,-3.91,73.99
71,1.213813,1783330729.467,42.1424869,-1.5887231,303.63,47.25,1.53,-3.88,73.97
72,1.230909,1783330729.484,42.1424870,-1.5887214,303.65,47.27,1.55,-3.86,73.96
73,1.248005,1783330729.501,42.1424871,-1.5887198,303.67,47.29,1.58,-3.84,73.94
74,1.265101,1783330729.518,42.1424872,-1.5887181,303.68,47.30,1.60,-3.87,73.92
75,1.282197,1783330729.535,42.1424873,-1.5887164,303.70,47.32,1.62,-3.91,73.91
76,1.299293,1783330729.552,42.1424874,-1.5887147,303.72,47.34,1.65,-3.94,73.89
77,1.316389,1783330729.569,42.1424875,-1.5887131,303.73,47.35,1.67,-3.98,73.88
78,1.333485,1783330729.586,42.1424904,-1.5887125,303.54,47.16,1.69,-4.01,73.86
79,1.350581,1783330729.604,42.1424905,-1.5887108,303.56,47.18,1.71,-4.03,73.85
80,1.367677,1783330729.621,42.1424906,-1.5887091,303.57,47.19,1.72,-3.99,73.86
81,1.384772,1783330729.638,42.1424907,-1.5887075,303.59,47.21,1.73,-3.94,73.88
82,1.401868,1783330729.655,42.1424908,-1.5887058,303.61,47.23,1.74,-3.90,73.89
83,1.418964,1783330729.672,42.1424909,-1.5887041,303.62,47.24,1.75,-3.86,73.90
84,1.436060,1783330729.689,42.1424910,-1.5887024,303.64,47.26,1.76,-3.81,73.91
85,1.453156,1783330729.706,42.1424911,-1.5887008,303.65,47.27,1.77,-3.79,73.92
86,1.470252,1783330729.723,42.1424912,-1.5886991,303.67,47.29,1.77,-3.82,73.92
87,1.487348,1783330729.740,42.1424913,-1.5886974,303.69,47.31,1.77,-3.85,73.91
88,1.504444,1783330729.757,42.1424913,-1.5886957,303.70,47.32,1.77,-3.88,73.91
89,1.521540,1783330729.775,42.1424914,-1.5886941,303.72,47.34,1.77,-3.91,73.91
90,1.538636,1783330729.792,42.1424942,-1.5886935,303.55,47.17,1.77,-3.93,73.90
91,1.555732,1783330729.809,42.1424943,-1.5886918,303.56,47.18,1.75,-3.94,73.88
92,1.572828,1783330729.826,42.1424944,-1.5886902,303.58,47.20,1.69,-3.93,73.85
93,1.589924,1783330729.843,42.1424945,-1.5886885,303.59,47.21,1.64,-3.91,73.81
94,1.607020,1783330729.860,42.1424946,-1.5886869,303.61,47.23,1.59,-3.90,73.78
95,1.624116,1783330729.877,42.1424948,-1.5886852,303.63,47.25,1.53,-3.88,73.74
96,1.641212,1783330729.894,42.1424949,-1.5886835,303.64,47.26,1.48,-3.87,73.70
97,1.658308,1783330729.911,42.1424950,-1.5886819,303.66,47.28,1.48,-3.92,73.69
98,1.675404,1783330729.928,42.1424951,-1.5886802,303.68,47.30,1.52,-4.03,73.69
99,1.692500,1783330729.945,42.1424952,-1.5886786,303.69,47.31,1.55,-4.13,73.69
100,1.709596,1783330729.963,42.1424953,-1.5886769,303.71,47.33,1.59,-4.24,73.69
101,1.726692,1783330729.980,42.1424954,-1.5886752,303.72,47.34,1.63,-4.34,73.69
102,1.743788,1783330729.997,42.1424984,-1.5886805,303.44,47.06,1.66,-4.45,73.69
103,1.760884,1783330730.014,42.1424982,-1.5886749,303.54,47.16,1.71,-4.40,73.69
104,1.777980,1783330730.031,42.1424983,-1.5886731,303.56,47.18,1.75,-4.32,73.69
105,1.795075,1783330730.048,42.1424984,-1.5886712,303.57,47.19,1.80,-4.23,73.69
106,1.812171,1783330730.065,42.1424985,-1.5886694,303.59,47.21,1.84,-4.14,73.68
107,1.829267,1783330730.082,42.1424986,-1.5886675,303.61,47.23,1.89,-4.05,73.68
108,1.846363,1783330730.099,42.1424987,-1.5886657,303.62,47.24,1.94,-3.97,73.68
109,1.863459,1783330730.116,42.1424988,-1.5886638,303.64,47.26,1.95,-4.08,73.68
110,1.880555,1783330730.134,42.1424989,-1.5886620,303.66,47.28,1.96,-4.21,73.68
111,1.897651,1783330730.151,42.1424990,-1.5886601,303.68,47.30,1.97,-4.33,73.68
112,1.914747,1783330730.168,42.1424991,-1.5886583,303.69,47.31,1.99,-4.46,73.69
113,1.931843,1783330730.185,42.1424992,-1.5886564,303.71,47.33,2.00,-4.59,73.69
114,1.948939,1783330730.202,42.1425020,-1.5886559,303.52,47.14,2.01,-4.71,73.69
115,1.966035,1783330730.219,42.1425021,-1.5886542,303.53,47.15,2.01,-4.74,73.70
116,1.983131,1783330730.236,42.1425022,-1.5886526,303.55,47.17,2.00,-4.78,73.70
117,2.000227,1783330730.253,42.1425023,-1.5886509,303.57,47.19,2.00,-4.81,73.71
118,2.017323,1783330730.270,42.1425024,-1.5886493,303.58,47.20,2.00,-4.84,73.72
119,2.034419,1783330730.287,42.1425025,-1.5886476,303.60,47.22,1.99,-4.87,73.72
120,2.051515,1783330730.305,42.1425026,-1.5886459,303.62,47.24,1.98,-4.91,73.73
121,2.068611,1783330730.322,42.1425026,-1.5886443,303.64,47.26,1.96,-4.96,73.74
122,2.085707,1783330730.339,42.1425027,-1.5886426,303.65,47.27,1.93,-5.01,73.74
123,2.102803,1783330730.356,42.1425028,-1.5886410,303.67,47.29,1.90,-5.06,73.75
124,2.119899,1783330730.373,42.1425029,-1.5886393,303.69,47.31,1.87,-5.11,73.75
125,2.136995,1783330730.390,42.1425057,-1.5886387,303.50,47.12,1.85,-5.16,73.76
126,2.154091,1783330730.407,42.1425058,-1.5886369,303.52,47.14,1.83,-5.22,73.77
127,2.171187,1783330730.424,42.1425059,-1.5886350,303.54,47.16,1.81,-5.29,73.78
128,2.188282,1783330730.441,42.1425060,-1.5886332,303.56,47.18,1.80,-5.36,73.80
129,2.205378,1783330730.458,42.1425061,-1.5886313,303.58,47.20,1.79,-5.43,73.81
130,2.222474,1783330730.475,42.1425062,-1.5886295,303.59,47.21,1.78,-5.50,73.83
131,2.239570,1783330730.493,42.1425064,-1.5886276,303.61,47.23,1.77,-5.58,73.84
132,2.256666,1783330730.510,42.1425065,-1.5886258,303.63,47.25,1.73,-5.60,73.86
133,2.273762,1783330730.527,42.1425066,-1.5886239,303.65,47.27,1.66,-5.57,73.89
134,2.290858,1783330730.544,42.1425067,-1.5886221,303.67,47.29,1.59,-5.54,73.91
135,2.307954,1783330730.561,42.1425068,-1.5886202,303.69,47.31,1.53,-5.51,73.94
136,2.325050,1783330730.578,42.1425102,-1.5886250,303.37,46.99,1.46,-5.49,73.97
137,2.342146,1783330730.595,42.1425097,-1.5886198,303.48,47.10,1.39,-5.46,73.99
138,2.359242,1783330730.612,42.1425097,-1.5886180,303.50,47.12,1.36,-5.53,74.00
139,2.376338,1783330730.629,42.1425098,-1.5886161,303.52,47.14,1.36,-5.64,74.01
140,2.393434,1783330730.646,42.1425099,-1.5886143,303.54,47.16,1.35,-5.76,74.01
141,2.410530,1783330730.664,42.1425100,-1.5886124,303.57,47.19,1.34,-5.87,74.01
142,2.427626,1783330730.681,42.1425101,-1.5886106,303.59,47.21,1.33,-5.98,74.02
143,2.444722,1783330730.698,42.1425102,-1.5886087,303.61,47.23,1.32,-6.10,74.02
144,2.461818,1783330730.715,42.1425103,-1.5886069,303.63,47.25,1.27,-6.10,74.02
145,2.478914,1783330730.732,42.1425104,-1.5886050,303.65,47.27,1.21,-6.08,74.02
146,2.496010,1783330730.749,42.1425105,-1.5886032,303.67,47.29,1.16,-6.06,74.02
147,2.513106,1783330730.766,42.1425114,-1.5886125,303.47,47.09,1.10,-6.04,74.03
148,2.530202,1783330730.783,42.1425151,-1.5886044,303.32,46.94,1.04,-6.02,74.03
149,2.547298,1783330730.800,42.1425134,-1.5886010,303.49,47.11,0.98,-6.00,74.03
150,2.564394,1783330730.817,42.1425135,-1.5885994,303.51,47.13,0.97,-6.01,74.04
151,2.581489,1783330730.834,42.1425135,-1.5885977,303.53,47.15,0.96,-6.03,74.06
152,2.598585,1783330730.852,42.1425136,-1.5885961,303.55,47.17,0.94,-6.05,74.07
153,2.615681,1783330730.869,42.1425137,-1.5885944,303.56,47.18,0.93,-6.06,74.08
154,2.632777,1783330730.886,42.1425138,-1.5885928,303.58,47.20,0.92,-6.08,74.10
155,2.649873,1783330730.903,42.1425139,-1.5885911,303.60,47.22,0.91,-6.09,74.11
156,2.666969,1783330730.920,42.1425140,-1.5885894,303.61,47.23,0.86,-6.09,74.13
157,2.684065,1783330730.937,42.1425141,-1.5885878,303.63,47.25,0.82,-6.09,74.14
158,2.701161,1783330730.954,42.1425141,-1.5885861,303.65,47.27,0.78,-6.08,74.16
159,2.718257,1783330730.971,42.1425142,-1.5885845,303.67,47.29,0.74,-6.08,74.17
160,2.735353,1783330730.988,42.1425156,-1.5885926,303.44,47.06,0.70,-6.08,74.19
161,2.752449,1783330731.005,42.1425192,-1.5885851,303.29,46.91,0.67,-6.10,74.21
162,2.769545,1783330731.023,42.1425170,-1.5885821,303.49,47.11,0.68,-6.16,74.23
163,2.786641,1783330731.040,42.1425172,-1.5885800,303.51,47.13,0.69,-6.22,74.25
164,2.803737,1783330731.057,42.1425173,-1.5885780,303.53,47.15,0.70,-6.29,74.27
165,2.820833,1783330731.074,42.1425175,-1.5885759,303.56,47.18,0.71,-6.35,74.29
166,2.837929,1783330731.091,42.1425176,-1.5885738,303.58,47.20,0.72,-6.41,74.32
167,2.855025,1783330731.108,42.1425177,-1.5885717,303.60,47.22,0.74,-6.46,74.33
168,2.872121,1783330731.125,42.1425179,-1.5885696,303.62,47.24,0.78,-6.49,74.33
169,2.889217,1783330731.142,42.1425180,-1.5885675,303.64,47.26,0.83,-6.51,74.32
170,2.906313,1783330731.159,42.1425181,-1.5885655,303.66,47.28,0.87,-6.54,74.32
171,2.923409,1783330731.176,42.1425211,-1.5885707,303.37,46.99,0.92,-6.56,74.31
172,2.940505,1783330731.194,42.1425209,-1.5885649,303.47,47.09,0.96,-6.59,74.31
173,2.957601,1783330731.211,42.1425210,-1.5885631,303.49,47.11,0.95,-6.66,74.31
174,2.974696,1783330731.228,42.1425211,-1.5885612,303.51,47.13,0.88,-6.78,74.32
175,2.991792,1783330731.245,42.1425212,-1.5885594,303.53,47.15,0.82,-6.89,74.32
176,3.008888,1783330731.262,42.1425213,-1.5885575,303.54,47.16,0.76,-7.00,74.33
177,3.025984,1783330731.279,42.1425214,-1.5885557,303.56,47.18,0.70,-7.12,74.33
178,3.043080,1783330731.296,42.1425215,-1.5885538,303.58,47.20,0.64,-7.23,74.34
179,3.060176,1783330731.313,42.1425217,-1.5885520,303.60,47.22,0.57,-7.30,74.32
180,3.077272,1783330731.330,42.1425218,-1.5885501,303.62,47.24,0.50,-7.36,74.30
181,3.094368,1783330731.347,42.1425219,-1.5885483,303.64,47.26,0.42,-7.42,74.28
182,3.111464,1783330731.364,42.1425220,-1.5885464,303.66,47.28,0.35,-7.48,74.26
183,3.128560,1783330731.382,42.1425259,-1.5885499,303.30,46.92,0.28,-7.53,74.24
184,3.145656,1783330731.399,42.1425246,-1.5885461,303.46,47.08,0.21,-7.59,74.21
185,3.162752,1783330731.416,42.1425247,-1.5885444,303.48,47.10,0.17,-7.49,74.20
186,3.179848,1783330731.433,42.1425248,-1.5885427,303.50,47.12,0.14,-7.36,74.18
187,3.196944,1783330731.450,42.1425249,-1.5885411,303.51,47.13,0.11,-7.24,74.17
188,3.214040,1783330731.467,42.1425250,-1.5885394,303.53,47.15,0.08,-7.11,74.15
189,3.231136,1783330731.484,42.1425251,-1.5885377,303.55,47.17,0.05,-6.98,74.14
190,3.248232,1783330731.501,42.1425253,-1.5885360,303.57,47.19,0.02,-6.86,74.12
191,3.265328,1783330731.518,42.1425254,-1.5885344,303.58,47.20,0.05,-6.95,74.12
192,3.282424,1783330731.535,42.1425255,-1.5885327,303.60,47.22,0.08,-7.04,74.12
193,3.299520,1783330731.553,42.1425256,-1.5885310,303.62,47.24,0.11,-7.13,74.11
194,3.316616,1783330731.570,42.1425257,-1.5885293,303.63,47.25,0.14,-7.22,74.11
195,3.333712,1783330731.587,42.1425283,-1.5885288,303.43,47.05,0.17,-7.32,74.11
196,3.350808,1783330731.604,42.1425284,-1.5885270,303.45,47.07,0.20,-7.38,74.11
197,3.367903,1783330731.621,42.1425286,-1.5885251,303.47,47.09,0.26,-7.34,74.08
198,3.384999,1783330731.638,42.1425287,-1.5885232,303.49,47.11,0.32,-7.29,74.06
199,3.402095,1783330731.655,42.1425288,-1.5885214,303.51,47.13,0.37,-7.25,74.04
