backend,count,phase,n,frame_p50_ms,frame_p95_ms,frame_p99_ms,fps_p50,hitch_gt_33ms,hitch_gt_50ms,actors_p50,components_p50,triangles_p50,estimated_draw_calls_p50
no_render,2,create_steady,6,5.3099989999999995,5.9271765,6.0535169,188.353317,0,0,0.0,0.0,0.0,0.0
no_render,2,pose_stream,6,5.1167015,6.959673499999999,7.2480131000000005,195.6394045,0,0,0.0,0.0,0.0,0.0
no_render,2,shape_stream,6,3.5938505,4.4372495,4.6036091,278.2563475,0,0,0.0,0.0,0.0,0.0
semantic_proxy,2,create_steady,6,3.077649,3.27042575,3.28184515,325.1505585,0,0,2.0,12.0,7936.0,12.0
semantic_proxy,2,pose_stream,6,3.148999,3.53105125,3.57805185,317.6900025,0,0,2.0,12.0,7936.0,12.0
semantic_proxy,2,shape_stream,6,3.4057494999999998,4.984651,5.080131800000001,293.623459,0,0,2.0,12.0,7936.0,12.0
unreal_assets,2,create_steady,6,3.273901,3.5157755,3.5563551,305.4784085,0,0,2.0,2.0,96.0,2.0
unreal_assets,2,pose_stream,6,3.3420005,3.7337485000000004,3.8231481,299.2222595,0,0,2.0,2.0,96.0,2.0
unreal_assets,2,shape_stream,6,3.1392499999999997,4.2483255,4.530385900000001,318.5477145,0,0,2.0,2.0,96.0,2.0
