backend,count,phase,n,frame_p50_ms,frame_p95_ms,frame_p99_ms,fps_p50,hitch_gt_33ms,hitch_gt_50ms,actors_p50,components_p50,triangles_p50,estimated_draw_calls_p50
no_render,10,create_steady,360,3.1839515,4.175879050000001,4.885750000000001,314.075119,0,0,0.0,0.0,0.0,0.0
no_render,10,pose_stream,360,3.3186025,4.312115050000001,5.45515259,301.3316805,0,0,0.0,0.0,0.0,0.0
no_render,10,shape_stream,360,3.529351,4.6001011,5.396223820000003,283.3381955,0,0,0.0,0.0,0.0,0.0
no_render,50,create_steady,360,3.35335,4.290190900000001,5.304757590000007,298.2093505,0,0,0.0,0.0,0.0,0.0
no_render,50,pose_stream,360,3.431549,4.3186068,5.232630050000003,291.4135745,0,0,0.0,0.0,0.0,0.0
no_render,50,shape_stream,360,3.2853985000000003,3.9864441,4.97783841,304.37753299999997,0,0,0.0,0.0,0.0,0.0
no_render,100,create_steady,360,3.3632495000000002,4.07181015,5.134332000000001,297.33146650000003,0,0,0.0,0.0,0.0,0.0
no_render,100,pose_stream,360,3.27415,4.13982305,4.957395820000001,305.422775,0,0,0.0,0.0,0.0,0.0
no_render,100,shape_stream,360,3.330799,4.175919950000001,4.650497360000003,300.228287,0,0,0.0,0.0,0.0,0.0
semantic_proxy,10,create_steady,360,3.7814995,4.67383195,5.4834228199999995,264.44538850000004,0,0,10.0,44.0,23760.0,44.0
semantic_proxy,10,pose_stream,360,3.6727990000000004,4.3777700500000005,5.146524410000004,272.27198799999996,0,0,10.0,44.0,23760.0,44.0
semantic_proxy,10,shape_stream,360,3.7937494999999997,4.74742785,5.214288410000002,263.591522,0,0,10.0,44.0,23760.0,44.0
semantic_proxy,50,create_steady,360,4.045,5.1332999500000005,5.850215410000001,247.2188645,0,0,50.0,216.0,104432.0,216.0
semantic_proxy,50,pose_stream,360,4.101353,9.26971805,10.575511360000004,243.8219985,0,0,50.0,216.0,104432.0,216.0
semantic_proxy,50,shape_stream,360,4.1308515,9.881764,11.435323590000003,242.08085599999998,0,0,50.0,216.0,104432.0,216.0
semantic_proxy,100,create_steady,360,4.065899,4.8172119,5.542422820000002,245.94812000000002,0,0,100.0,432.0,208864.0,432.0
semantic_proxy,100,pose_stream,360,4.141601,17.813770950000006,20.258028410000016,241.45254549999999,0,0,100.0,432.0,208864.0,432.0
semantic_proxy,100,shape_stream,360,4.245849,19.256388150000003,21.120430589999998,235.5241395,0,0,100.0,432.0,208864.0,432.0
unreal_assets,10,create_steady,360,3.4532005,4.154480850000001,5.148574180000001,289.5864105,0,0,10.0,10.0,480.0,10.0
unreal_assets,10,pose_stream,360,3.4935995,4.322557100000001,5.255059590000011,286.2379455,0,0,10.0,10.0,480.0,10.0
unreal_assets,10,shape_stream,360,3.4717504999999997,4.294562149999999,5.34169182,288.03912349999996,0,0,10.0,10.0,480.0,10.0
unreal_assets,50,create_steady,360,4.2423995,5.2675049000000005,5.712043770000001,235.71566,0,0,50.0,50.0,2400.0,50.0
unreal_assets,50,pose_stream,360,3.957199,5.043299,5.875785000000002,252.7043685,0,0,50.0,50.0,2400.0,50.0
unreal_assets,50,shape_stream,360,3.7046505,5.16180415,5.537567000000002,269.93100000000004,0,0,50.0,50.0,2400.0,50.0
unreal_assets,100,create_steady,360,3.56365,4.41449675,5.219094000000004,280.61143500000003,0,0,100.0,100.0,4800.0,100.0
unreal_assets,100,pose_stream,360,3.5458505000000002,5.2265808499999995,6.2050604100000095,282.0198055,0,0,100.0,100.0,4800.0,100.0
unreal_assets,100,shape_stream,360,3.5007,4.809876,5.3581002300000025,285.657257,0,0,100.0,100.0,4800.0,100.0
