vf_frame,t_unix,lat,lon,alt_msl,rel_alt,roll,pitch,yaw
0,1783330741.109,42.1427386,-1.5878757,303.31,46.93,-6.4,-6.08,9.4
1,1783330741.2094386,42.14274393973451,-1.5878751301327467,303.105480087994,46.72548008799401,-6.303013274670659,-6.360960175988023,7.790679208053897
2,1783330741.3088772,42.142746279469016,-1.5878737602654935,303.300960175988,46.92096017598802,-6.193013274670659,-6.698907077305387,6.244371690778453
3,1783330741.4093163,42.14275197119472,-1.5878739615929605,302.9634424638323,46.58344246383232,-6.104519912005989,-7.111920351976046,4.642997800149714
4,1783330741.508755,42.14275459867253,-1.5878723205309868,303.3158938026347,46.93589380263473,-6.026026549341318,-7.397814154610773,3.2406637335329513
5,1783330741.6091936,42.142760223340666,-1.5878722753318668,303.10986725329343,46.729867253293406,-5.965066373353295,-7.804800879940115,1.775862853592837
6,1783330741.7096322,42.142763148008804,-1.5878714807964804,303.3338407039521,46.953840703952096,-5.807119472035931,-8.183840703952091,0.30983630425151887
7,1783330741.809071,42.142767949181525,-1.5878717437169079,303.0841526209281,46.70415262092808,-5.641639384041923,-8.38781415461077,359.0625686109881
8,1783330741.90951,42.142770797345065,-1.5878713,303.2838407039521,46.903840703952085,-5.474106197365274,-8.60178760526945,357.635168171018
9,1783330742.0089486,42.14277510327391,-1.5878716728316777,303.0929049530241,46.7129049530241,-5.4171194720359335,-8.8193207919461,356.35119472035933
10,1783330742.1093872,42.14278019469013,-1.5878715,303.30973450658684,46.92973450658681,-5.290132746706592,-8.949867253293407,355.1614602137725
11,1783330742.2088258,42.14278794325267,-1.5878727258408551,302.8439335510777,46.463933551077716,-5.18,-9.063988925179618,353.85831419239526
12,1783330742.3092647,42.14278971522112,-1.5878724,303.32768140790415,46.94768140790418,-5.146159296047911,-9.43384070395209,352.7635133124552
13,1783330742.4087446,42.142795228960026,-1.5878733041371464,303.09165485856283,46.71165485856286,-5.007517712155709,-9.56165485856286,351.68213942182643
14,1783330742.509142,42.14279922349541,-1.587873889070773,303.32562830922154,46.94562830922155,-4.655464613473072,-9.747814154610772,350.5596726085031
15,1783330742.6095808,42.142805544026395,-1.5878751740043997,303.12960175988025,46.74960175988022,-4.290796480239551,-9.884800879940112,349.6263938404192
16,1783330742.7090194,42.14280925362816,-1.5878759589380265,303.3435752105389,46.963575210538906,-3.735168171018007,-9.981787605269453,348.82338056574855
17,1783330742.8094583,42.14281629095198,-1.587877636770082,302.88548661197586,46.50548661197588,-3.0729668511078376,-10.101225669401206,348.11174118170663
18,1783330742.908897,42.14281850163696,-1.5878782576105592,303.29152211185624,46.91152211185627,-2.3125531364671215,-10.040163695748474,347.4540752483234
19,1783330743.0093355,42.14282489617234,-1.5878799412167188,303.09549556251494,46.71549556251495,-1.532139421826405,-10.367252218742523,346.9403827655988
20,1783330743.1087742,42.142829390707725,-1.5878813960175988,303.31960175988024,46.939601759880226,-0.7717257071856887,-10.24986725329341,346.5407964802396
21,1783330743.209213,42.14283564754456,-1.5878831327876808,303.03917909470044,46.65917909470045,-0.02967260850305138,-10.505081847874237,346.27491815212574
22,1783330743.3093371,42.1428395797785,-1.5878844370795724,303.29056193586825,46.910561935868245,0.6253937648502325,-10.606853978622748,346.16314602137726
23,1783330743.4090905,42.14284697431389,-1.5878866069468258,303.1260420238623,46.74604202386226,1.2427787302993603,-10.68138936514968,346.08465265871257
24,1783330743.509529,42.14285086884928,-1.5878880152211186,303.3115221118563,46.93152211185627,1.7092035197604467,-10.88615929604791,346.03
25,1783330743.608968,42.14285816338466,-1.5878902466813323,303.1070021998503,46.727002199850276,1.9846681332335196,-10.844668133233519,346.04
26,1783330743.7094066,42.14286225792005,-1.5878916248228785,303.29330971712574,46.91330971712572,2.07,-10.927517712155709,346.07082742928145
27,1783330743.8088453,42.14286985245543,-1.587893886415839,303.0779623758383,46.69796237583831,2.0413584161077982,-10.8,346.1486415838922
28,1783330743.909284,42.142873946990825,-1.5878953344246383,303.28344246383233,46.90344246383231,1.8487433815569148,-10.85,346.28344246383233
29,1783330744.0087228,42.14288012300691,-1.587896956902073,302.79277220631747,46.41277220631749,1.6410774481736745,-10.846307517275442,346.4
30,1783330744.1091616,42.14288513207919,-1.587898744026398,303.24920351976044,46.86920351976045,1.4807964802395508,-10.933606159580787,346.3748008799401
31,1783330744.2096002,42.14289396353941,-1.5879013658848522,303.0731769704191,46.69317697041913,1.2368230295808689,-11.283411514790433,346.45
32,1783330744.3090389,42.14289834300842,-1.5879027357521054,303.2871504210778,46.90715042107781,1.012849578922187,-11.188212394730547,346.47178760526947
33,1783330744.4094775,42.142906519667754,-1.587905008429038,303.06112387173647,46.681123871736496,0.7991570961976289,-11.068033224461134,346.5105619358682
34,1783330744.5089164,42.142911001946445,-1.5879064754866121,303.2850973223952,46.90509732239517,0.6524513388024116,-10.65857968580844,346.62
35,1783330744.6093552,42.142919081415464,-1.5879088453538652,303.06180307979037,46.68180307979039,0.56,-10.267323067365364,346.55726769326344
36,1783330744.7087939,42.14292386088448,-1.587910372831678,303.2872831677844,46.907283167784406,0.58,-9.688150496646784,346.65423894407184
37,1783330744.8092325,42.142931940353485,-1.5879127276325578,303.0670176743712,46.68701767437122,0.5957455814071955,-9.141929302515129,346.5985088371856
38,1783330744.908946,42.142936419822504,-1.5879141549556253,303.26099112502993,46.880991125029894,0.57,-8.218783281137874,346.71
39,1783330745.00911,42.14294451170295,-1.5879164372343175,303.0062057196107,46.626205719610724,0.5687588560778545,-7.387588560778545,346.72248228784434
40,1783330745.1095486,42.142949973450655,-1.5879182893802635,303.2686725329341,46.88867253293408,0.53,-6.783451414371393,346.8294690131736
41,1783330745.2089872,42.14295885822954,-1.587920864557385,303.0529114770059,46.67291147700595,0.48,-5.960632784491081,346.95645573850294
42,1783330745.309426,42.14296373769855,-1.5879225016369574,303.28688492766463,46.90688492766463,0.46,-5.8262301446707445,347.0667212319162
43,1783330745.408865,42.14297226931351,-1.5879249564378375,303.0608583783233,46.68085837832331,0.44521459458082746,-5.340429189161655,347.11042918916166
