frame,t_unix,t_rel_s,lat,lon,alt_msl,rel_alt,roll,pitch,yaw
66,1783330747.709,6.600,42.1431232,-1.5879722,303.35,46.79,0.70,-7.48,347.60
67,1783330747.809,6.700,42.1431310,-1.5879747,303.07,46.51,0.64,-7.11,347.59
68,1783330747.909,6.800,42.1431360,-1.5879762,303.32,46.76,0.70,-6.97,347.59
69,1783330748.009,6.900,42.1431436,-1.5879787,303.03,46.47,0.76,-6.89,347.58
70,1783330748.109,7.000,42.1431499,-1.5879806,303.34,46.78,0.88,-6.84,347.65
71,1783330748.209,7.100,42.1431582,-1.5879832,303.07,46.51,0.93,-7.07,347.59
72,1783330748.309,7.200,42.1431638,-1.5879849,303.35,46.79,0.88,-7.13,347.58
73,1783330748.409,7.300,42.1431719,-1.5879875,303.05,46.49,0.88,-7.15,347.72
74,1783330748.509,7.400,42.1431775,-1.5879892,303.34,46.78,0.92,-7.10,347.61
75,1783330748.609,7.500,42.1431855,-1.5879918,303.05,46.49,0.96,-7.17,347.56
76,1783330748.709,7.600,42.1431911,-1.5879935,303.34,46.78,0.85,-7.07,347.53
77,1783330748.809,7.700,42.1431989,-1.5879960,303.06,46.50,0.87,-7.05,347.61
78,1783330748.909,7.800,42.1432040,-1.5879975,303.30,46.74,0.79,-6.94,347.51
79,1783330749.009,7.900,42.1432115,-1.5879999,303.01,46.45,0.83,-6.82,347.57
80,1783330749.109,8.000,42.1432180,-1.5880018,303.32,46.76,0.77,-6.72,347.55
81,1783330749.209,8.100,42.1432264,-1.5880044,303.06,46.50,0.71,-6.78,347.46
82,1783330749.309,8.200,42.1432321,-1.5880061,303.34,46.78,0.70,-6.63,347.55
83,1783330749.409,8.300,42.1432401,-1.5880086,303.06,46.50,0.60,-6.57,347.44
84,1783330749.509,8.400,42.1432458,-1.5880104,303.34,46.78,0.61,-6.41,347.48
85,1783330749.609,8.500,42.1432536,-1.5880129,303.07,46.51,0.57,-6.34,347.51
86,1783330749.709,8.600,42.1432588,-1.5880144,303.31,46.75,0.65,-6.21,347.46
87,1783330749.809,8.700,42.1432673,-1.5880171,303.07,46.51,0.61,-6.13,347.50
88,1783330749.909,8.800,42.1432725,-1.5880186,303.31,46.75,0.65,-6.00,347.47
89,1783330750.009,8.900,42.1432799,-1.5880210,303.02,46.46,0.70,-5.79,347.48
90,1783330750.109,9.000,42.1432864,-1.5880229,303.32,46.76,0.60,-5.84,347.42
91,1783330750.209,9.100,42.1432948,-1.5880255,303.08,46.52,0.74,-5.76,347.51
92,1783330750.309,9.200,42.1433005,-1.5880273,303.34,46.78,0.59,-5.92,347.42
93,1783330750.409,9.300,42.1433083,-1.5880297,303.08,46.52,0.72,-5.82,347.48
94,1783330750.509,9.400,42.1433140,-1.5880315,303.36,46.80,0.73,-5.80,347.55
95,1783330750.609,9.500,42.1433217,-1.5880339,303.09,46.53,0.69,-6.01,347.43
96,1783330750.709,9.600,42.1433274,-1.5880357,303.36,46.80,0.69,-5.93,347.58
97,1783330750.809,9.700,42.1433351,-1.5880381,303.09,46.53,0.73,-6.12,347.43
98,1783330750.909,9.800,42.1433402,-1.5880397,303.33,46.77,0.75,-5.96,347.48
99,1783330751.009,9.900,42.1433476,-1.5880420,303.03,46.47,0.73,-6.16,347.51
100,1783330751.109,10.000,42.1433539,-1.5880440,303.34,46.78,0.71,-6.11,347.42
101,1783330751.209,10.100,42.1433610,-1.5880462,303.03,46.47,0.65,-6.20,347.50
102,1783330751.309,10.200,42.1433674,-1.5880481,303.35,46.79,0.73,-6.36,347.43
