epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.52264,0.7488,1.48056,0.9594,0.99486,0.91667,0.91509,0.80803,0.60638,0.98705,0.97478,0.00014,0.00014,0.00014
2,16.5496,0.75815,1.38677,0.93071,0.99349,0.91667,0.91509,0.73199,0.85928,1.12172,1.0254,0.0002703,0.0002703,0.0002703
3,24.3345,0.71572,1.32251,0.92254,0.9942,0.91667,0.91509,0.68161,1.0173,1.22111,1.04995,0.00036892,0.00036892,0.00036892
4,32.3,0.84068,1.42497,0.95049,0.99362,0.91667,0.91523,0.75788,0.69464,1.06493,1.01164,0.00043586,0.00043586,0.00043586
5,40.0604,0.73277,1.30645,0.92561,0.99428,0.91667,0.91528,0.81961,0.55982,0.99004,0.95065,0.00047112,0.00047112,0.00047112
6,48.0391,0.80194,1.48247,0.94445,0.99488,0.91667,0.91528,0.78309,0.76265,1.12363,0.98893,0.0004747,0.0004747,0.0004747
7,55.2713,0.73498,1.24188,0.95478,0.99486,0.91667,0.91528,0.82639,0.62364,1.02985,0.94994,0.0004466,0.0004466,0.0004466
8,62.6153,0.71278,1.3062,0.88129,0.99459,0.91667,0.91528,0.8531,0.49954,0.95877,0.94029,0.00038682,0.00038682,0.00038682
9,69.8424,0.70116,1.24466,0.89349,0.99387,0.91667,0.91527,0.81679,0.5546,0.91184,0.95801,0.00029536,0.00029536,0.00029536
10,77.0699,0.71724,1.26582,0.92752,0.99398,0.91667,0.91527,0.81424,0.51977,0.8802,0.95141,0.00017222,0.00017222,0.00017222
