class_name,builder_key,status,vertices,faces,n,min_us,mean_us,p50_us,p95_us,p99_us,max_us
bike,biker,ok,488,396,10000,162.5,183.41482,172.6,313.3,329.6,385.5
cow,cow,ok,612,502,10000,208.6,223.76019,216.3,244.9,420.3,458.3
tower,,missing_builder,,,,,,,,,
car,car,ok,448,408,10000,152.5,167.16858,160.5,206.6,305.2,618.6
truck,truck,ok,856,786,10000,321.9,432.85819000000004,344.0,670.8,770.5,5250.7
tractor,tractor,ok,500,450,10000,170.2,214.22162000000003,179.2,346.2,371.1,806.6
tree,tree,ok,288,236,10000,101.4,106.9359,105.6,112.1,142.5,257.9
