baseline,count,action,n,batch_total_ms_mean,batch_total_ms_p50,batch_total_ms_p95,batch_total_ms_max,per_actor_ms_p50,per_actor_ms_p95,http_requests,components_after_action,payload_bytes_mean
unreal_assets,10,create,10,10.80699000012828,10.684000008041039,14.1050000092946,14.1050000092946,1.068400000804104,1.41050000092946,10,10,58384
unreal_assets,10,pose_poll,50,5.181585997634102,5.788199996459298,5.848000000696629,7.14210000296589,0.5788199996459298,0.5848000000696629,50,10,2772.6
unreal_assets,10,shape,10,5.327700004272629,5.503799999132752,5.616200010990724,5.616200010990724,0.5503799999132752,0.5616200010990724,10,10,3680
unreal_assets,50,create,10,30.403570001362823,30.24760000698734,33.937799991690554,33.937799991690554,0.6049520001397468,0.6787559998338111,10,50,246060
unreal_assets,50,pose_poll,50,5.921386000991333,5.7487000012770295,7.223699998576194,7.5416000036057085,0.11497400002554059,0.14447399997152388,50,50,13765.4
unreal_assets,50,shape,10,6.67313999729231,6.7334999912418425,6.874499988043681,6.874499988043681,0.13466999982483685,0.13748999976087362,10,50,18262
unreal_assets,100,create,10,56.34588000102667,55.25580000539776,61.72910000896081,61.72910000896081,0.5525580000539776,0.6172910000896081,10,100,492107
unreal_assets,100,pose_poll,50,7.227945999184158,6.7814000067301095,9.380299990880303,11.496099992655218,0.0678140000673011,0.09380299990880303,50,100,27515.4
unreal_assets,100,shape,10,8.358340000268072,8.207300008507445,10.263599993777461,10.263599993777461,0.08207300008507445,0.10263599993777461,10,100,36509
unreal_assets,250,create,10,136.78808999975445,132.40119999682065,159.20559999358375,159.20559999358375,0.5296047999872826,0.636822399974335,10,250,1230421
unreal_assets,250,pose_poll,50,10.38704999955371,10.325299997930415,12.17210000322666,12.259800001629628,0.04130119999172166,0.04868840001290664,50,250,68916.8
unreal_assets,250,shape,10,13.013429997954518,13.016500000958331,14.771000001928769,14.771000001928769,0.052066000003833324,0.059084000007715076,10,250,91396
unreal_assets,500,create,10,268.6549899968668,267.5940999906743,302.29149998922367,302.29149998922367,0.5351881999813486,0.6045829999784473,10,500,2460928
unreal_assets,500,pose_poll,50,17.61408800171921,16.80950001173187,22.97550000366755,27.67699999094475,0.03361900002346374,0.0459510000073351,50,500,137918.2
unreal_assets,500,shape,10,23.857590001716744,23.808700003428385,27.992899995297194,27.992899995297194,0.04761740000685677,0.05598579999059439,10,500,182878
semantic_proxy,10,create,10,21.187390001432505,20.885300007648766,23.9651000010781,23.9651000010781,2.0885300007648766,2.39651000010781,10,110,58384
semantic_proxy,10,pose_poll,50,5.895518000470474,5.817700002808124,7.6849999895785,8.049299998674542,0.5817700002808124,0.76849999895785,50,110,2772.6
semantic_proxy,10,shape,10,5.880559999786783,5.309899992425926,8.907900002668612,8.907900002668612,0.5309899992425926,0.8907900002668612,10,110,3680
semantic_proxy,50,create,10,94.39121000032173,80.20350000879262,134.02650000352878,134.02650000352878,1.6040700001758523,2.6805300000705756,10,268,246060
semantic_proxy,50,pose_poll,50,12.478456000389997,10.285700001986697,29.950199997983873,39.86150000127964,0.20571400003973395,0.5990039999596775,50,268,13765.4
semantic_proxy,50,shape,10,13.87531000218587,11.442100003478117,22.294700000202283,22.294700000202283,0.22884200006956235,0.44589400000404567,10,268,18262
semantic_proxy,100,create,10,129.0292000005138,130.50610000209417,144.19780000753235,144.19780000753235,1.3050610000209417,1.4419780000753235,10,536,492107
semantic_proxy,100,pose_poll,50,9.611476000281982,9.330699991551228,12.415000004693866,18.328999998630024,0.09330699991551228,0.12415000004693866,50,536,27515.4
semantic_proxy,100,shape,10,12.333100000978447,11.847499990835786,15.680099997553043,15.680099997553043,0.11847499990835786,0.15680099997553043,10,536,36509
semantic_proxy,250,create,10,318.45188999868697,319.18900000164285,354.0820000052918,354.0820000052918,1.2767560000065714,1.416328000021167,10,1340,1230421
semantic_proxy,250,pose_poll,50,15.892366000334732,15.973599991411902,18.438300001434982,19.12689999153372,0.06389439996564761,0.07375320000573993,50,1340,68916.8
semantic_proxy,250,shape,10,23.496309999609366,23.13299999514129,28.987199999392033,28.987199999392033,0.09253199998056516,0.11594879999756813,10,1340,91396
semantic_proxy,500,create,10,681.4285999978893,656.3088999973843,950.0762000097893,950.0762000097893,1.3126177999947686,1.9001524000195786,10,2680,2460928
semantic_proxy,500,pose_poll,50,30.680971999827307,28.221200002008118,47.678600007202476,59.64009999297559,0.056442400004016235,0.09535720001440495,50,2680,137918.2
semantic_proxy,500,shape,10,45.291079999879,42.93300000426825,73.84270000329707,73.84270000329707,0.0858660000085365,0.14768540000659414,10,2680,182878
