baseline,count,repetition,updates_per_actor,create_total_ms,create_per_object_ms,pose_update_total_ms,pose_update_per_object_ms,shape_update_total_ms,shape_update_per_object_ms,no_op_total_ms,no_op_per_object_ms,destroy_total_ms,destroy_per_object_ms,actor_count,components_after_create,components_after_pose,components_after_shape,components_created_approx,components_destroyed_approx,components_reused_during_pose,components_reused_during_shape,descriptor_bytes,triangles_estimated,create_failures,pose_failures,shape_failures,no_op_failures,mode
no_render,10,0,5,0.06380000559147447,0.006380000559147447,0.00549999822396785,0.000109999964479357,0.000200001522898674,2.00001522898674e-05,0.000200001522898674,2.00001522898674e-05,0.000100000761449337,1.00000761449337e-05,10,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,1,5,0.022299995180219412,0.002229999518021941,0.0035999983083456755,7.199996616691351e-05,0.000100000761449337,1.00000761449337e-05,0.000200001522898674,2.00001522898674e-05,0.000100000761449337,1.00000761449337e-05,10,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,2,5,0.01889999839477241,0.001889999839477241,0.003300010575912893,6.600021151825786e-05,0.00019998697098344564,1.9998697098344564e-05,0.0,0.0,0.000100000761449337,1.00000761449337e-05,10,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,50,0,5,0.10869999823626131,0.002173999964725226,0.012999997125007212,5.199998850002885e-05,0.000100000761449337,2.00001522898674e-06,0.000100000761449337,2.00001522898674e-06,0.000100000761449337,2.00001522898674e-06,50,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,50,1,5,0.09070000669453293,0.0018140001338906586,0.012900010915473104,5.1600043661892414e-05,0.000100000761449337,2.00001522898674e-06,0.0,0.0,0.000100000761449337,2.00001522898674e-06,50,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,50,2,5,0.09000000136438757,0.0018000000272877514,0.012799995602108538,5.119998240843415e-05,0.000100000761449337,2.00001522898674e-06,0.000100000761449337,2.00001522898674e-06,0.000100000761449337,2.00001522898674e-06,50,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,100,0,5,0.18039999122265726,0.0018039999122265726,0.02510000194888562,5.020000389777124e-05,0.000100000761449337,1.00000761449337e-06,0.000100000761449337,1.00000761449337e-06,0.0,0.0,100,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,100,1,5,0.1787999935913831,0.001787999935913831,0.024900000425986946,4.980000085197389e-05,0.000100000761449337,1.00000761449337e-06,0.000100000761449337,1.00000761449337e-06,0.0,0.0,100,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,100,2,5,0.17949999892152846,0.0017949999892152846,0.024900000425986946,4.980000085197389e-05,0.000100000761449337,1.00000761449337e-06,0.0,0.0,0.0,0.0,100,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,250,0,5,0.47670000640209764,0.0019068000256083906,0.061700004152953625,4.93600033223629e-05,9.998620953410864e-05,3.9994483813643456e-07,0.000100000761449337,4.00003045797348e-07,0.000100000761449337,4.00003045797348e-07,250,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,250,1,5,0.4599999956553802,0.0018399999826215208,0.06160000339150429,4.928000271320343e-05,0.000100000761449337,4.00003045797348e-07,0.000100000761449337,4.00003045797348e-07,0.000100000761449337,4.00003045797348e-07,250,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
