case_id,family,stratum,seed,condition,method,status,exception,voxel_iou,bev_iou,normalized_symmetric_chamfer,heldout_silhouette_iou,volume_error,gt_outside_prediction,prediction_outside_gt,inference_ms,primitive_count,triangle_equiv,descriptor_bytes,evaluations,objective,top_fit_iou,side_fit_iou,theta_json
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,clean,sppa_mvfit,pass,,0.7350727546412443,0.8814432989690721,0.005832475873385341,0.75,0.3022636484687084,0.02463382157123835,0.25102249488752554,8.6402,8,304,1485,31,0.16846227201604402,0.8582375478927203,0.8068459657701712,"[0.1593646418398694,-0.23052395674331588,0.10983852260312008,1.1400000000000001,0.0]"
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,clean,generic_mvfit,pass,,0.6006240249609984,0.7198275862068966,0.008835665330872104,0.742922271627174,0.0492676431424767,0.2310252996005326,0.26713197969543145,11.678,8,1280,1500,31,0.3301613660448836,0.6930860033726813,0.6593279258400927,"[0.5735969697527608,0.19819333812629758,-0.5158381356005686,0.9299999999999999,0.0]"
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,clean,sppa_text_only,pass,,0.5941670785961444,0.7255813953488373,0.009574588851151028,0.7723214285714286,0.14713715046604528,0.19973368841544606,0.3023795705165409,0.4648,8,304,879,0,,,,"[0.0,0.0,0.0,1.0,0.0]"
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,clean,bbox,pass,,0.2566643882433356,0.5616883116883117,0.03526408974042394,0.46842105263157896,2.896138482023968,0.0,0.7433356117566644,0.3095,1,12,179,0,,,,
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,clean,ellipsoid,pass,,0.42538699690402476,0.6719367588932806,0.021820363513252283,0.6766826923076924,1.0652463382157125,0.085219707057257,0.5570599613152805,0.6521,1,160,185,0,,,,
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,clean,capsule,pass,,0.36639118457300274,0.6113074204946997,0.025711494044136397,0.6168699186991871,1.6324900133155793,0.02596537949400799,0.6299949418310572,1.0826,3,384,553,0,,,,
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,clean,billboard,pass,,0.1713570981863665,0.7935779816513762,0.01748917359207818,0.6282400223322414,0.7529960053262317,0.8175765645805593,0.261455525606469,0.3712,742,8904,32768,0,,,,
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,clean,nonsemantic_visual_hull,pass,,0.5676492819349962,0.7935779816513762,0.010868684631775673,0.6476091476091477,0.7616511318242344,0.0,0.4323507180650038,0.3603,5292,63504,32768,0,,,,
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,mild_morphology,sppa_mvfit,pass,,0.7342007434944238,0.7865168539325843,nan,nan,0.13648468708388814,0.211051930758988,0.08635312259059368,8.4185,8,304,1486,31,0.16377314716035823,0.8376470588235294,0.837593984962406,"[0.11057447767043746,-0.35042976184263774,0.03573055044939816,1.07,0.034999999999999996]"
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,mild_morphology,generic_mvfit,pass,,0.5635234330886505,0.751269035532995,nan,nan,0.15645805592543274,0.3355525965379494,0.2123125493291239,11.5046,8,1280,1451,31,0.3271333723992353,0.674468085106383,0.6766304347826086,"[0.287682072451781,0.019006349744088824,-0.41210255790562933,1.105,0.13999999999999999]"
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,mild_morphology,sppa_text_only,pass,,0.5941670785961444,0.7255813953488373,nan,nan,0.14713715046604528,0.19973368841544606,0.3023795705165409,0.4103,8,304,879,0,,,,"[0.0,0.0,0.0,1.0,0.0]"
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,mild_morphology,bbox,pass,,0.29543207435238283,0.5824915824915825,nan,nan,2.3615179760319576,0.005326231691078562,0.7040998217468806,0.2373,1,12,180,0,,,,
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,mild_morphology,ellipsoid,pass,,0.4608788853161844,0.679324894514768,nan,nan,0.7223701731025299,0.1411451398135819,0.5013529184383456,0.4869,1,160,186,0,,,,
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,mild_morphology,capsule,pass,,0.4115586690017513,0.6245353159851301,nan,nan,1.2197070572569906,0.06125166444740346,0.5770845830833833,0.9089,3,384,553,0,,,,
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,mild_morphology,billboard,pass,,0.16192630898513252,0.7823834196891192,nan,nan,0.8032623169107856,0.8332223701731025,0.15228426395939088,0.2379,591,7092,32768,0,,,,
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,mild_morphology,nonsemantic_visual_hull,pass,,0.669710806697108,0.7823834196891192,nan,nan,0.1910785619174434,0.12117177097203728,0.262157629960872,0.2242,3578,42936,32768,0,,,,
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,moderate_morphology,sppa_mvfit,pass,,0.45773874862788144,0.6048951048951049,nan,nan,0.6524633821571239,0.16711051930758988,0.4959709911361805,8.2277,8,304,1406,31,0.23529001408977282,0.8128342245989305,0.7181208053691275,"[0.13526709026080902,0.23638877806423034,-0.04431215722413817,1.0350000000000001,0.0]"
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,moderate_morphology,generic_mvfit,pass,,0.4954799827808868,0.5509554140127388,nan,nan,0.3129161118508655,0.2336884154460719,0.41632860040567954,11.3664,8,1280,1430,31,0.3494792226886003,0.7381546134663342,0.581039755351682,"[0.4902182348908133,0.5877866649021191,-0.5514264488620527,0.8250000000000001,0.06999999999999999]"
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,moderate_morphology,sppa_text_only,pass,,0.5941670785961444,0.7255813953488373,nan,nan,0.14713715046604528,0.19973368841544606,0.3023795705165409,0.3869,8,304,879,0,,,,"[0.0,0.0,0.0,1.0,0.0]"
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,moderate_morphology,bbox,pass,,0.26138578770157717,0.4928774928774929,nan,nan,2.7390146471371506,0.017976031957390146,0.7373575498575499,0.222,1,12,149,0,,,,
dev-csg_id-compact_vehicle-000,compact_vehicle,csg_id,110000,moderate_morphology,ellipsoid,pass,,0.42344961240310075,0.6086956521739131,nan,nan,0.9340878828229028,0.12716378162450068,0.5487091222030981,0.4558,1,160,155,0,,,,
