baseline,count,action,n,batch_total_ms_mean,batch_total_ms_p50,batch_total_ms_p95,batch_total_ms_max,per_actor_ms_p50,per_actor_ms_p95,http_requests,components_after_action,payload_bytes_mean
no_render,2,create,1,8.614300008048303,8.614300008048303,8.614300008048303,8.614300008048303,4.307150004024152,4.307150004024152,1,0,14242
no_render,2,pose_poll,1,5.4564999882131815,5.4564999882131815,5.4564999882131815,5.4564999882131815,2.7282499941065907,2.7282499941065907,1,0,2501
no_render,2,shape,1,5.766199989011511,5.766199989011511,5.766199989011511,5.766199989011511,2.8830999945057556,2.8830999945057556,1,0,2025
unreal_assets,2,create,1,6.934099990758114,6.934099990758114,6.934099990758114,6.934099990758114,3.467049995379057,3.467049995379057,1,2,14242
unreal_assets,2,pose_poll,1,5.344599994714372,5.344599994714372,5.344599994714372,5.344599994714372,2.672299997357186,2.672299997357186,1,2,2501
unreal_assets,2,shape,1,6.187399994814768,6.187399994814768,6.187399994814768,6.187399994814768,3.093699997407384,3.093699997407384,1,2,2025
semantic_proxy,2,create,1,12.257900001714006,12.257900001714006,12.257900001714006,12.257900001714006,6.128950000857003,6.128950000857003,1,31,14242
semantic_proxy,2,pose_poll,1,6.05609999911394,6.05609999911394,6.05609999911394,6.05609999911394,3.02804999955697,3.02804999955697,1,31,2501
semantic_proxy,2,shape,1,5.160800006706268,5.160800006706268,5.160800006706268,5.160800006706268,2.580400003353134,2.580400003353134,1,31,2025
