baseline,count,repetition,updates_per_actor,create_total_ms,create_per_object_ms,pose_update_total_ms,pose_update_per_object_ms,shape_update_total_ms,shape_update_per_object_ms,no_op_total_ms,no_op_per_object_ms,destroy_total_ms,destroy_per_object_ms,actor_count,components_after_create,components_after_pose,components_after_shape,components_created_approx,components_destroyed_approx,components_reused_during_pose,components_reused_during_shape,descriptor_bytes,triangles_estimated,create_failures,pose_failures,shape_failures,no_op_failures,mode
no_render,5,0,2,0.05200000305194408,0.010400000610388815,0.01340000017080456,0.001340000017080456,0.000300002284348011,6.00004568696022e-05,0.00029998773243278265,5.999754648655653e-05,0.000100000761449337,2.00001522898674e-05,5,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
no_render,10,0,2,0.04220000118948519,0.004220000118948519,0.0032999960239976645,0.00016499980119988322,0.000200001522898674,2.00001522898674e-05,0.000200001522898674,2.00001522898674e-05,0.000200001522898674,2.00001522898674e-05,10,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,5,0,2,3.529499997966923,0.7058999995933846,0.12079998850822449,0.012079998850822449,0.0022000021999701858,0.00044000043999403715,0.000200001522898674,4.00003045797348e-05,0.15799999528098851,0.0315999990561977,5,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
billboard_label,10,0,2,2.716400005738251,0.2716400005738251,0.1917999907163903,0.009589999535819516,0.0028999929782003164,0.00028999929782003164,0.000300002284348011,3.00002284348011e-05,0.1407999952789396,0.01407999952789396,10,0,0,0,0,0,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
box_proxy,5,0,2,1.9333000091137365,0.3866600018227473,0.1412999990861863,0.014129999908618629,0.06079999729990959,0.012159999459981918,0.000100000761449337,2.00001522898674e-05,0.1657999964663759,0.03315999929327518,5,5,5,5,5,5,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
box_proxy,10,0,2,4.229399986797944,0.42293999867979437,0.29910000739619136,0.014955000369809568,0.10130000009667128,0.010130000009667128,0.000400003045797348,4.00003045797348e-05,0.2175999979954213,0.02175999979954213,10,10,10,10,10,10,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,5,0,2,1.3264000008348376,0.2652800001669675,0.112900001113303,0.0112900001113303,0.029100003303028643,0.005820000660605729,0.000100000761449337,2.00001522898674e-05,0.07840000034775585,0.01568000006955117,5,5,5,5,5,5,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,10,0,2,2.5870999961625785,0.25870999961625785,0.18099999579135329,0.009049999789567664,0.05319999763742089,0.005319999763742089,0.000200001522898674,2.00001522898674e-05,0.12820000119972974,0.012820000119972974,10,10,10,10,10,10,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,5,0,2,3.353899999638088,0.6707799999276176,0.21209999977145344,0.021209999977145344,0.08630000229459256,0.017260000458918512,0.000200001522898674,4.00003045797348e-05,0.305499997921288,0.0610999995842576,5,33,33,33,33,33,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,10,0,2,5.693400002201088,0.5693400002201088,0.37179999344516546,0.018589999672258273,0.1618999958736822,0.01618999958736822,0.000300002284348011,3.00002284348011e-05,0.5795000033685938,0.057950000336859375,10,60,60,60,60,60,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
sppa_desc,5,0,2,5.637900001602247,1.1275800003204495,0.4302000015741214,0.04302000015741214,0.11829999857582152,0.023659999715164304,0.05950000195298344,0.011900000390596688,0.45849999878555536,0.09169999975711107,5,64,64,64,64,64,1,1,30807,5036,0,0,5,0,Editor-Cmd actor microbenchmark
sppa_desc,10,0,2,9.74740000674501,0.9747400006745011,0.7392999978037551,0.036964999890187755,0.19910000264644623,0.019910000264644623,0.10710000060498714,0.010710000060498714,0.7624000136274844,0.07624000136274844,10,110,110,110,110,110,1,1,56651,8040,0,0,10,0,Editor-Cmd actor microbenchmark
