backend,count,repetition,action,sequence,payload_bytes,elapsed_ms,ok,managed_actors,static_mesh_components,estimated_triangles,estimated_draw_calls
no_render,2,0,create,0,529,0.089700,1,0,0,0,0
no_render,2,0,pose_update,1,602,0.056200,1,0,0,0,0
no_render,2,0,pose_update,2,602,0.054200,1,0,0,0,0
no_render,2,0,pose_update,3,575,0.049700,1,0,0,0,0
no_render,2,0,pose_update,4,603,0.052500,1,0,0,0,0
no_render,2,0,pose_update,5,603,0.063600,1,0,0,0,0
no_render,2,0,shape_param_update,1,541,0.055600,1,0,0,0,0
no_render,2,0,shape_param_update,2,541,0.051000,1,0,0,0,0
no_render,2,0,shape_param_update,3,542,0.056500,1,0,0,0,0
no_render,2,0,shape_param_update,4,542,0.049800,1,0,0,0,0
no_render,2,0,shape_param_update,5,542,0.055400,1,0,0,0,0
unreal_assets,2,0,create,0,533,0.623600,1,2,2,96,2
unreal_assets,2,0,pose_update,1,606,0.185600,1,2,2,96,2
unreal_assets,2,0,pose_update,2,606,0.157000,1,2,2,96,2
unreal_assets,2,0,pose_update,3,579,0.161000,1,2,2,96,2
unreal_assets,2,0,pose_update,4,607,0.178600,1,2,2,96,2
unreal_assets,2,0,pose_update,5,607,0.208200,1,2,2,96,2
unreal_assets,2,0,shape_param_update,1,545,0.189200,1,2,2,96,2
unreal_assets,2,0,shape_param_update,2,545,0.181400,1,2,2,96,2
unreal_assets,2,0,shape_param_update,3,546,0.161000,1,2,2,96,2
unreal_assets,2,0,shape_param_update,4,546,0.166200,1,2,2,96,2
unreal_assets,2,0,shape_param_update,5,546,0.186800,1,2,2,96,2
semantic_proxy,2,0,create,0,9240,1.983200,1,2,12,7936,12
semantic_proxy,2,0,pose_update,1,2733,0.359300,1,2,12,7936,12
semantic_proxy,2,0,pose_update,2,2707,0.360300,1,2,12,7936,12
semantic_proxy,2,0,pose_update,3,2706,0.354400,1,2,12,7936,12
semantic_proxy,2,0,pose_update,4,2660,0.336000,1,2,12,7936,12
semantic_proxy,2,0,pose_update,5,2708,0.325000,1,2,12,7936,12
semantic_proxy,2,0,shape_param_update,1,2692,0.894800,1,2,12,7936,12
semantic_proxy,2,0,shape_param_update,2,2666,0.362500,1,2,12,7936,12
semantic_proxy,2,0,shape_param_update,3,2693,0.648000,1,2,12,7936,12
semantic_proxy,2,0,shape_param_update,4,2619,0.364800,1,2,12,7936,12
semantic_proxy,2,0,shape_param_update,5,2667,0.367300,1,2,12,7936,12
